epoc (ms);timestamp (+0300);elapsed (s);acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z
1,72753E+12;2024-09-28T16.06.48.954;0.000;-0.154;-0.262;0.856;-3.476;-8.171;-64.024
1,72753E+12;2024-09-28T16.06.48.964;0.010;-0.155;-0.259;0.851;-3.171;-8.780;-64.573
1,72753E+12;2024-09-28T16.06.48.974;0.020;-0.151;-0.256;0.833;-2.378;-12.012;-68.171
1,72753E+12;2024-09-28T16.06.48.984;0.030;-0.140;-0.246;0.824;-1.402;-15.488;-74.024
1,72753E+12;2024-09-28T16.06.48.994;0.040;-0.120;-0.236;0.818;-0.244;-17.134;-79.024
1,72753E+12;2024-09-28T16.06.49.004;0.050;-0.097;-0.225;0.805;1.524;-16.220;-82.622
1,72753E+12;2024-09-28T16.06.49.014;0.060;-0.064;-0.213;0.801;3.780;-12.256;-85.061
1,72753E+12;2024-09-28T16.06.49.024;0.070;-0.013;-0.200;0.800;7.317;-6.768;-86.951
1,72753E+12;2024-09-28T16.06.49.034;0.080;0.023;-0.185;0.786;11.280;-1.220;-88.902
1,72753E+12;2024-09-28T16.06.49.044;0.090;0.042;-0.176;0.772;15.305;3.110;-90.488
1,72753E+12;2024-09-28T16.06.49.054;0.100;0.055;-0.160;0.763;19.146;5.793;-91.463
1,72753E+12;2024-09-28T16.06.49.064;0.110;0.067;-0.149;0.745;23.354;6.707;-92.134
1,72753E+12;2024-09-28T16.06.49.074;0.120;0.066;-0.147;0.729;27.927;5.305;-92.317
1,72753E+12;2024-09-28T16.06.49.084;0.130;0.049;-0.149;0.721;31.890;2.744;-91.098
1,72753E+12;2024-09-28T16.06.49.094;0.140;0.040;-0.143;0.715;35.610;1.159;-89.878
1,72753E+12;2024-09-28T16.06.49.104;0.150;0.054;-0.124;0.721;38.476;2.500;-89.451
1,72753E+12;2024-09-28T16.06.49.114;0.160;0.093;-0.095;0.737;41.524;7.134;-90.122
1,72753E+12;2024-09-28T16.06.49.124;0.170;0.130;-0.077;0.746;44.878;15.976;-91.890
