epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1727528780546,2024-09-28T16.06.20.546,0.000,-72.988,69.817,62.378
1727528780556,2024-09-28T16.06.20.556,0.010,-72.866,70.854,61.280
1727528780566,2024-09-28T16.06.20.566,0.020,-73.780,72.256,58.537
1727528780576,2024-09-28T16.06.20.576,0.030,-75.305,67.134,56.463
1727528780586,2024-09-28T16.06.20.586,0.040,-77.012,50.671,57.927
1727528780596,2024-09-28T16.06.20.596,0.050,-79.146,27.195,59.085
1727528780606,2024-09-28T16.06.20.606,0.060,-80.305,3.415,56.768
1727528780616,2024-09-28T16.06.20.616,0.070,-81.768,-10.305,53.293
1727528780626,2024-09-28T16.06.20.626,0.080,-85.061,-14.451,53.171
1727528780636,2024-09-28T16.06.20.636,0.090,-90.915,-10.976,51.220
1727528780646,2024-09-28T16.06.20.646,0.100,-97.927,2.134,45.610
1727528780656,2024-09-28T16.06.20.656,0.110,-103.963,19.207,40.854
1727528780666,2024-09-28T16.06.20.666,0.120,-108.659,36.402,35.793
1727528780676,2024-09-28T16.06.20.676,0.130,-110.976,51.890,29.207
1727528780686,2024-09-28T16.06.20.686,0.140,-110.488,65.732,21.768
1727528780696,2024-09-28T16.06.20.696,0.150,-107.683,74.085,14.756
1727528780706,2024-09-28T16.06.20.706,0.160,-104.390,74.329,8.049
1727528780716,2024-09-28T16.06.20.716,0.170,-102.561,68.415,1.951
1727528780726,2024-09-28T16.06.20.726,0.180,-100.854,59.512,-3.110
1727528780736,2024-09-28T16.06.20.736,0.190,-99.512,50.488,-7.805
1727528780746,2024-09-28T16.06.20.746,0.200,-98.963,43.902,-11.585
1727528780756,2024-09-28T16.06.20.756,0.210,-98.963,40.061,-14.512
1727528780766,2024-09-28T16.06.20.766,0.220,-99.329,39.207,-18.171
1727528780776,2024-09-28T16.06.20.776,0.230,-100.061,41.159,-23.049
1727528780786,2024-09-28T16.06.20.786,0.240,-100.549,45.427,-28.659
1727528780796,2024-09-28T16.06.20.796,0.250,-100.000,50.427,-34.207
1727528780806,2024-09-28T16.06.20.806,0.260,-99.207,54.268,-39.207
1727528780816,2024-09-28T16.06.20.816,0.270,-97.500,54.085,-42.439
1727528780826,2024-09-28T16.06.20.826,0.280,-95.305,47.500,-44.695
1727528780836,2024-09-28T16.06.20.836,0.290,-93.780,36.402,-49.146
1727528780846,2024-09-28T16.06.20.846,0.300,-92.744,23.963,-55.000
1727528780856,2024-09-28T16.06.20.856,0.310,-91.037,13.293,-60.610
1727528780866,2024-09-28T16.06.20.866,0.320,-88.598,6.402,-64.268
1727528780876,2024-09-28T16.06.20.876,0.330,-84.573,5.061,-67.378
1727528780886,2024-09-28T16.06.20.886,0.340,-79.634,9.573,-71.768
1727528780896,2024-09-28T16.06.20.896,0.350,-74.268,18.659,-77.805
1727528780906,2024-09-28T16.06.20.906,0.360,-68.354,28.171,-83.963
1727528780916,2024-09-28T16.06.20.916,0.370,-61.707,32.744,-88.415
1727528780926,2024-09-28T16.06.20.926,0.380,-55.305,27.500,-92.134
1727528780936,2024-09-28T16.06.20.936,0.390,-49.939,17.317,-96.707
1727528780946,2024-09-28T16.06.20.946,0.400,-43.415,10.427,-96.890
1727528780956,2024-09-28T16.06.20.956,0.410,-34.207,6.890,-85.610
1727528780966,2024-09-28T16.06.20.966,0.420,-24.817,8.110,-70.976
1727528780976,2024-09-28T16.06.20.976,0.430,-17.683,15.915,-61.159
1727528780986,2024-09-28T16.06.20.986,0.440,-12.622,24.756,-52.134
