epoc (ms),timestamp (+0300),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1727528869884,2024-09-28T16.07.49.884,0.000,0.148,-0.219,0.889
1727528869894,2024-09-28T16.07.49.894,0.010,0.158,-0.213,0.890
1727528869904,2024-09-28T16.07.49.904,0.020,0.169,-0.189,0.893
1727528869914,2024-09-28T16.07.49.914,0.030,0.165,-0.198,0.890
1727528869924,2024-09-28T16.07.49.924,0.040,0.187,-0.210,0.869
1727528869934,2024-09-28T16.07.49.934,0.050,0.205,-0.209,0.864
1727528869944,2024-09-28T16.07.49.944,0.060,0.205,-0.219,0.885
1727528869954,2024-09-28T16.07.49.954,0.070,0.195,-0.239,0.914
1727528869964,2024-09-28T16.07.49.964,0.080,0.177,-0.252,0.924
1727528869974,2024-09-28T16.07.49.974,0.090,0.165,-0.260,0.934
1727528869984,2024-09-28T16.07.49.984,0.100,0.167,-0.275,0.940
1727528869994,2024-09-28T16.07.49.994,0.110,0.157,-0.277,0.954
1727528870004,2024-09-28T16.07.50.004,0.120,0.146,-0.276,0.965
1727528870014,2024-09-28T16.07.50.014,0.130,0.137,-0.262,0.975
1727528870024,2024-09-28T16.07.50.024,0.140,0.116,-0.247,0.980
1727528870034,2024-09-28T16.07.50.034,0.150,0.097,-0.237,0.980
1727528870044,2024-09-28T16.07.50.044,0.160,0.087,-0.233,0.976
1727528870054,2024-09-28T16.07.50.054,0.170,0.090,-0.232,0.986
1727528870064,2024-09-28T16.07.50.064,0.180,0.105,-0.235,1.019
1727528870074,2024-09-28T16.07.50.074,0.190,0.118,-0.240,1.047
1727528870084,2024-09-28T16.07.50.084,0.200,0.098,-0.239,1.041
1727528870094,2024-09-28T16.07.50.094,0.210,0.059,-0.233,1.027
1727528870104,2024-09-28T16.07.50.104,0.220,0.042,-0.238,1.022
1727528870114,2024-09-28T16.07.50.114,0.230,0.057,-0.246,1.022
1727528870124,2024-09-28T16.07.50.124,0.240,0.056,-0.256,1.026
1727528870134,2024-09-28T16.07.50.134,0.250,0.028,-0.260,1.018
