epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1727527744874,2024-09-28T15.49.04.874,0.000,111.098,19.634,-64.878
1727527744884,2024-09-28T15.49.04.884,0.010,111.524,17.805,-66.463
1727527744894,2024-09-28T15.49.04.894,0.020,113.049,10.610,-70.549
1727527744904,2024-09-28T15.49.04.904,0.030,109.512,0.549,-73.780
1727527744914,2024-09-28T15.49.04.914,0.040,100.488,-9.756,-75.854
1727527744924,2024-09-28T15.49.04.924,0.050,88.476,-19.512,-77.622
1727527744934,2024-09-28T15.49.04.934,0.060,76.341,-27.317,-77.744
1727527744944,2024-09-28T15.49.04.944,0.070,64.634,-29.451,-80.305
1727527744954,2024-09-28T15.49.04.954,0.080,55.000,-23.049,-92.195
1727527744964,2024-09-28T15.49.04.964,0.090,48.720,-15.488,-102.988
1727527744974,2024-09-28T15.49.04.974,0.100,43.841,-16.646,-106.707
1727527744984,2024-09-28T15.49.04.984,0.110,38.659,-24.878,-108.720
1727527744994,2024-09-28T15.49.04.994,0.120,34.329,-34.817,-106.707
1727527745004,2024-09-28T15.49.05.004,0.130,31.463,-47.378,-102.500
1727527745014,2024-09-28T15.49.05.014,0.140,26.768,-59.817,-102.256
1727527745024,2024-09-28T15.49.05.024,0.150,17.195,-64.634,-102.256
1727527745034,2024-09-28T15.49.05.034,0.160,4.939,-62.256,-100.671
1727527745044,2024-09-28T15.49.05.044,0.170,-9.756,-55.915,-102.378
1727527745054,2024-09-28T15.49.05.054,0.180,-24.024,-49.878,-107.134
1727527745064,2024-09-28T15.49.05.064,0.190,-36.646,-47.988,-108.598
1727527745074,2024-09-28T15.49.05.074,0.200,-46.646,-52.317,-109.939
1727527745084,2024-09-28T15.49.05.084,0.210,-54.573,-57.988,-110.854
1727527745094,2024-09-28T15.49.05.094,0.220,-61.402,-62.988,-107.805
1727527745104,2024-09-28T15.49.05.104,0.230,-67.256,-65.610,-104.939
1727527745114,2024-09-28T15.49.05.114,0.240,-72.500,-63.902,-101.768
1727527745124,2024-09-28T15.49.05.124,0.250,-78.232,-59.573,-96.220
1727527745134,2024-09-28T15.49.05.134,0.260,-85.366,-55.122,-91.220
1727527745144,2024-09-28T15.49.05.144,0.270,-93.476,-52.866,-86.951
1727527745154,2024-09-28T15.49.05.154,0.280,-102.683,-52.317,-80.610
1727527745164,2024-09-28T15.49.05.164,0.290,-110.976,-51.585,-70.732
1727527745174,2024-09-28T15.49.05.174,0.300,-116.402,-49.817,-60.122
1727527745184,2024-09-28T15.49.05.184,0.310,-120.000,-48.171,-50.305
1727527745194,2024-09-28T15.49.05.194,0.320,-122.256,-46.707,-40.488
1727527745204,2024-09-28T15.49.05.204,0.330,-123.293,-42.622,-31.890
1727527745214,2024-09-28T15.49.05.214,0.340,-123.841,-37.256,-23.110
1727527745224,2024-09-28T15.49.05.224,0.350,-124.390,-31.829,-13.902
1727527745234,2024-09-28T15.49.05.234,0.360,-125.305,-25.793,-4.451
1727527745244,2024-09-28T15.49.05.244,0.370,-126.829,-19.939,4.878
1727527745254,2024-09-28T15.49.05.254,0.380,-129.268,-16.646,14.329
1727527745264,2024-09-28T15.49.05.264,0.390,-132.073,-15.854,22.866
1727527745274,2024-09-28T15.49.05.274,0.400,-133.720,-15.610,30.366
1727527745284,2024-09-28T15.49.05.284,0.410,-134.390,-16.890,39.024
1727527745294,2024-09-28T15.49.05.294,0.420,-135.366,-17.927,47.256
1727527745304,2024-09-28T15.49.05.304,0.430,-135.854,-14.390,54.024
1727527745314,2024-09-28T15.49.05.314,0.440,-135.305,-7.317,60.549
1727527745324,2024-09-28T15.49.05.324,0.450,-133.720,-0.793,67.561
1727527745334,2024-09-28T15.49.05.334,0.460,-130.549,1.829,73.902
1727527745344,2024-09-28T15.49.05.344,0.470,-127.012,0.305,79.817
1727527745354,2024-09-28T15.49.05.354,0.480,-124.207,-3.537,85.244
1727527745364,2024-09-28T15.49.05.364,0.490,-121.768,-6.890,90.183
1727527745374,2024-09-28T15.49.05.374,0.500,-119.512,-9.817,95.061
1727527745384,2024-09-28T15.49.05.384,0.510,-117.622,-11.463,99.695
1727527745394,2024-09-28T15.49.05.394,0.520,-115.000,-11.159,103.476
1727527745404,2024-09-28T15.49.05.404,0.530,-110.366,-10.915,105.000
1727527745414,2024-09-28T15.49.05.414,0.540,-104.756,-10.183,104.817
1727527745424,2024-09-28T15.49.05.424,0.550,-99.512,-8.963,104.756
1727527745434,2024-09-28T15.49.05.434,0.560,-95.183,-9.024,103.171
1727527745444,2024-09-28T15.49.05.444,0.570,-92.988,-9.085,101.463
1727527745454,2024-09-28T15.49.05.454,0.580,-90.976,-9.878,103.476
1727527745464,2024-09-28T15.49.05.464,0.590,-87.561,-11.098,107.500
1727527745474,2024-09-28T15.49.05.474,0.600,-82.927,-12.195,110.915
1727527745484,2024-09-28T15.49.05.484,0.610,-77.561,-14.207,113.415
1727527745494,2024-09-28T15.49.05.494,0.620,-70.549,-18.598,115.427
1727527745504,2024-09-28T15.49.05.504,0.630,-61.463,-25.793,116.646
1727527745514,2024-09-28T15.49.05.514,0.640,-50.976,-31.951,116.951
