epoc (ms),timestamp (+0300),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1727527994505,2024-09-28T15.53.14.505,0.000,0.145,-0.187,0.932
1727527994515,2024-09-28T15.53.14.515,0.010,0.190,-0.187,0.937
1727527994525,2024-09-28T15.53.14.525,0.020,0.184,-0.184,0.920
1727527994535,2024-09-28T15.53.14.535,0.030,0.188,-0.192,0.906
1727527994545,2024-09-28T15.53.14.545,0.040,0.225,-0.187,0.884
1727527994555,2024-09-28T15.53.14.555,0.050,0.226,-0.182,0.858
1727527994565,2024-09-28T15.53.14.565,0.060,0.209,-0.177,0.830
1727527994575,2024-09-28T15.53.14.575,0.070,0.185,-0.171,0.804
1727527994585,2024-09-28T15.53.14.585,0.080,0.157,-0.167,0.783
1727527994595,2024-09-28T15.53.14.595,0.090,0.125,-0.164,0.762
1727527994605,2024-09-28T15.53.14.605,0.100,0.094,-0.162,0.741
1727527994615,2024-09-28T15.53.14.615,0.110,0.092,-0.154,0.729
1727527994625,2024-09-28T15.53.14.625,0.120,0.141,-0.128,0.726
1727527994635,2024-09-28T15.53.14.635,0.130,0.186,-0.097,0.708
1727527994645,2024-09-28T15.53.14.645,0.140,0.198,-0.079,0.700
1727527994655,2024-09-28T15.53.14.655,0.150,0.159,-0.068,0.701
1727527994665,2024-09-28T15.53.14.665,0.160,0.079,-0.065,0.706
1727527994675,2024-09-28T15.53.14.675,0.170,-0.005,-0.077,0.719
1727527994685,2024-09-28T15.53.14.685,0.180,-0.043,-0.088,0.746
1727527994695,2024-09-28T15.53.14.695,0.190,-0.030,-0.095,0.734
1727527994705,2024-09-28T15.53.14.705,0.200,-0.002,-0.087,0.683
1727527994715,2024-09-28T15.53.14.715,0.210,0.016,-0.068,0.616
1727527994725,2024-09-28T15.53.14.725,0.220,0.024,-0.031,0.570
1727527994735,2024-09-28T15.53.14.735,0.230,0.073,0.017,0.585
1727527994745,2024-09-28T15.53.14.745,0.240,0.201,0.073,0.642
1727527994755,2024-09-28T15.53.14.755,0.250,0.305,0.183,0.743
1727527994765,2024-09-28T15.53.14.765,0.260,0.344,0.230,0.852
1727527994775,2024-09-28T15.53.14.775,0.270,0.212,0.297,0.926
1727527994785,2024-09-28T15.53.14.785,0.280,0.021,0.294,0.963
1727527994795,2024-09-28T15.53.14.795,0.290,-0.094,0.274,0.934
1727527994805,2024-09-28T15.53.14.805,0.300,-0.123,0.289,0.898
1727527994815,2024-09-28T15.53.14.815,0.310,-0.114,0.293,0.874
1727527994825,2024-09-28T15.53.14.825,0.320,-0.079,0.299,0.843
1727527994835,2024-09-28T15.53.14.835,0.330,-0.010,0.319,0.815
1727527994845,2024-09-28T15.53.14.845,0.340,0.124,0.347,0.836
1727527994855,2024-09-28T15.53.14.855,0.350,0.240,0.393,0.894
1727527994865,2024-09-28T15.53.14.865,0.360,0.266,0.434,0.936
1727527994875,2024-09-28T15.53.14.875,0.370,0.183,0.463,0.931
1727527994885,2024-09-28T15.53.14.885,0.380,0.013,0.470,0.914
1727527994895,2024-09-28T15.53.14.895,0.390,-0.150,0.477,0.904
1727527994905,2024-09-28T15.53.14.905,0.400,-0.259,0.490,0.889
1727527994915,2024-09-28T15.53.14.915,0.410,-0.292,0.508,0.893
1727527994925,2024-09-28T15.53.14.925,0.420,-0.244,0.556,0.952
1727527994935,2024-09-28T15.53.14.935,0.430,-0.108,0.644,1.052
1727527994945,2024-09-28T15.53.14.945,0.440,0.075,0.743,1.118
1727527994955,2024-09-28T15.53.14.955,0.450,0.169,0.793,1.154
1727527994965,2024-09-28T15.53.14.965,0.460,0.076,0.774,1.162
1727527994975,2024-09-28T15.53.14.975,0.470,-0.096,0.733,1.139
1727527994985,2024-09-28T15.53.14.985,0.480,-0.236,0.708,1.100
1727527994995,2024-09-28T15.53.14.995,0.490,-0.252,0.703,1.070
1727527995005,2024-09-28T15.53.15.005,0.500,-0.181,0.722,1.063
1727527995015,2024-09-28T15.53.15.015,0.510,-0.078,0.740,1.077
1727527995025,2024-09-28T15.53.15.025,0.520,0.031,0.774,1.113
1727527995035,2024-09-28T15.53.15.035,0.530,0.102,0.818,1.156
1727527995045,2024-09-28T15.53.15.045,0.540,0.099,0.848,1.172
1727527995055,2024-09-28T15.53.15.055,0.550,-0.001,0.841,1.145
1727527995065,2024-09-28T15.53.15.065,0.560,-0.109,0.802,1.131
1727527995075,2024-09-28T15.53.15.075,0.570,-0.149,0.781,1.120
1727527995085,2024-09-28T15.53.15.085,0.580,-0.113,0.755,1.117
1727527995095,2024-09-28T15.53.15.095,0.590,-0.060,0.719,1.120
1727527995105,2024-09-28T15.53.15.105,0.600,-0.041,0.699,1.105
1727527995115,2024-09-28T15.53.15.115,0.610,-0.020,0.698,1.080
1727527995125,2024-09-28T15.53.15.125,0.620,0.003,0.732,1.088
1727527995135,2024-09-28T15.53.15.135,0.630,0.016,0.748,1.082
1727527995145,2024-09-28T15.53.15.145,0.640,0.094,0.795,1.070
1727527995155,2024-09-28T15.53.15.155,0.650,0.169,0.827,1.060
1727527995165,2024-09-28T15.53.15.165,0.660,0.212,0.791,1.046
1727527995175,2024-09-28T15.53.15.175,0.670,0.282,0.762,1.067
1727527995185,2024-09-28T15.53.15.185,0.680,0.345,0.736,1.075
1727527995195,2024-09-28T15.53.15.195,0.690,0.359,0.710,1.048
1727527995205,2024-09-28T15.53.15.205,0.700,0.347,0.692,1.008
1727527995215,2024-09-28T15.53.15.215,0.710,0.396,0.674,0.983
1727527995225,2024-09-28T15.53.15.225,0.720,0.434,0.664,0.969
1727527995235,2024-09-28T15.53.15.235,0.730,0.379,0.631,0.951
1727527995245,2024-09-28T15.53.15.245,0.740,0.312,0.608,0.938
1727527995255,2024-09-28T15.53.15.255,0.750,0.320,0.597,0.925
1727527995265,2024-09-28T15.53.15.265,0.760,0.335,0.578,0.914
1727527995275,2024-09-28T15.53.15.275,0.770,0.361,0.565,0.927
1727527995285,2024-09-28T15.53.15.285,0.780,0.388,0.551,0.936
1727527995295,2024-09-28T15.53.15.295,0.790,0.381,0.527,0.934
1727527995305,2024-09-28T15.53.15.305,0.800,0.348,0.494,0.917
1727527995315,2024-09-28T15.53.15.315,0.810,0.318,0.480,0.912
1727527995325,2024-09-28T15.53.15.325,0.820,0.301,0.466,0.903
1727527995335,2024-09-28T15.53.15.335,0.830,0.343,0.473,0.875
1727527995345,2024-09-28T15.53.15.345,0.840,0.388,0.478,0.864
1727527995355,2024-09-28T15.53.15.355,0.850,0.392,0.459,0.887
1727527995365,2024-09-28T15.53.15.365,0.860,0.373,0.444,0.888
1727527995375,2024-09-28T15.53.15.375,0.870,0.372,0.420,0.888
1727527995385,2024-09-28T15.53.15.385,0.880,0.408,0.403,0.898
1727527995395,2024-09-28T15.53.15.395,0.890,0.430,0.401,0.919
1727527995405,2024-09-28T15.53.15.405,0.900,0.399,0.384,0.933
1727527995415,2024-09-28T15.53.15.415,0.910,0.365,0.363,0.920
1727527995425,2024-09-28T15.53.15.425,0.920,0.336,0.341,0.894
1727527995435,2024-09-28T15.53.15.435,0.930,0.334,0.319,0.878
1727527995445,2024-09-28T15.53.15.445,0.940,0.327,0.308,0.875
1727527995455,2024-09-28T15.53.15.455,0.950,0.324,0.286,0.860
1727527995465,2024-09-28T15.53.15.465,0.960,0.338,0.257,0.860
1727527995475,2024-09-28T15.53.15.475,0.970,0.353,0.248,0.887
1727527995485,2024-09-28T15.53.15.485,0.980,0.341,0.243,0.911
1727527995495,2024-09-28T15.53.15.495,0.990,0.288,0.214,0.921
