epoc (ms);timestamp (+0300);elapsed (s);acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z
1,72753E+12;2024-09-28T15.53.38.595;0.000;0.092;-0.130;0.670;55.793;-15.366;34.634
1,72753E+12;2024-09-28T15.53.38.605;0.010;0.016;-0.130;0.700;57.195;-15.366;35.427
1,72753E+12;2024-09-28T15.53.38.615;0.020;-0.044;-0.124;0.759;64.695;-15.000;39.817
1,72753E+12;2024-09-28T15.53.38.625;0.030;-0.011;-0.096;0.837;76.829;-12.805;39.634
1,72753E+12;2024-09-28T15.53.38.635;0.040;0.054;-0.040;0.876;88.293;-7.866;33.659
1,72753E+12;2024-09-28T15.53.38.645;0.050;0.035;0.003;0.857;94.939;-4.207;28.841
1,72753E+12;2024-09-28T15.53.38.655;0.060;-0.006;0.018;0.826;95.732;-4.390;27.439
1,72753E+12;2024-09-28T15.53.38.665;0.070;-0.004;0.032;0.809;93.780;-5.366;26.220
1,72753E+12;2024-09-28T15.53.38.675;0.080;0.027;0.042;0.810;92.805;-6.707;24.878
1,72753E+12;2024-09-28T15.53.38.685;0.090;0.020;0.033;0.827;93.171;-8.354;24.451
1,72753E+12;2024-09-28T15.53.38.695;0.100;-0.010;0.023;0.834;94.573;-10.488;24.878
1,72753E+12;2024-09-28T15.53.38.705;0.110;-0.034;0.025;0.839;96.585;-12.378;24.939
1,72753E+12;2024-09-28T15.53.38.715;0.120;-0.037;0.028;0.840;99.573;-12.622;24.146
1,72753E+12;2024-09-28T15.53.38.725;0.130;-0.014;0.045;0.843;103.598;-9.878;22.195
1,72753E+12;2024-09-28T15.53.38.735;0.140;0.018;0.082;0.847;108.049;-4.756;19.573
1,72753E+12;2024-09-28T15.53.38.745;0.150;0.043;0.118;0.878;112.805;2.500;14.512
1,72753E+12;2024-09-28T15.53.38.755;0.160;0.031;0.159;0.905;117.195;10.671;9.390
1,72753E+12;2024-09-28T15.53.38.765;0.170;-0.036;0.196;0.945;120.061;15.671;8.720
1,72753E+12;2024-09-28T15.53.38.775;0.180;-0.081;0.237;0.975;121.585;13.720;8.963
1,72753E+12;2024-09-28T15.53.38.785;0.190;-0.091;0.269;0.958;120.732;7.256;6.098
1,72753E+12;2024-09-28T15.53.38.795;0.200;-0.126;0.278;0.937;116.890;-2.073;4.939
1,72753E+12;2024-09-28T15.53.38.805;0.210;-0.139;0.288;0.929;113.232;-11.707;5.000
1,72753E+12;2024-09-28T15.53.38.815;0.220;-0.099;0.307;0.927;110.366;-16.463;2.744
1,72753E+12;2024-09-28T15.53.38.825;0.230;-0.038;0.311;0.930;110.061;-15.915;-1.707
1,72753E+12;2024-09-28T15.53.38.835;0.240;-0.032;0.311;0.934;112.683;-13.110;-7.683
1,72753E+12;2024-09-28T15.53.38.845;0.250;-0.071;0.318;0.940;115.976;-11.951;-13.476
1,72753E+12;2024-09-28T15.53.38.855;0.260;-0.136;0.330;0.963;119.939;-12.988;-18.902
1,72753E+12;2024-09-28T15.53.38.865;0.270;-0.182;0.359;0.980;124.878;-17.927;-23.780
1,72753E+12;2024-09-28T15.53.38.875;0.280;-0.205;0.398;1.016;128.598;-24.024;-29.756
1,72753E+12;2024-09-28T15.53.38.885;0.290;-0.196;0.451;1.036;129.146;-29.207;-37.195
1,72753E+12;2024-09-28T15.53.38.895;0.300;-0.202;0.497;1.016;124.573;-30.610;-41.829
1,72753E+12;2024-09-28T15.53.38.905;0.310;-0.182;0.529;1.000;115.610;-29.329;-41.890
1,72753E+12;2024-09-28T15.53.38.915;0.320;-0.112;0.565;0.997;105.000;-26.463;-45.915
1,72753E+12;2024-09-28T15.53.38.925;0.330;-0.063;0.591;0.996;94.207;-20.976;-53.232
1,72753E+12;2024-09-28T15.53.38.935;0.340;-0.039;0.595;1.002;86.280;-13.049;-58.232
1,72753E+12;2024-09-28T15.53.38.945;0.350;-0.029;0.597;1.018;82.134;-5.183;-60.305
1,72753E+12;2024-09-28T15.53.38.955;0.360;-0.039;0.592;1.025;82.378;-2.622;-60.976
1,72753E+12;2024-09-28T15.53.38.965;0.370;-0.074;0.582;1.014;84.878;-7.134;-62.073
1,72753E+12;2024-09-28T15.53.38.975;0.380;-0.127;0.588;0.994;86.707;-16.951;-62.927
1,72753E+12;2024-09-28T15.53.38.985;0.390;-0.150;0.608;0.994;87.378;-26.585;-63.841
1,72753E+12;2024-09-28T15.53.38.995;0.400;-0.149;0.641;1.012;86.159;-32.195;-66.402
1,72753E+12;2024-09-28T15.53.39.005;0.410;-0.132;0.685;1.035;81.341;-33.902;-70.671
1,72753E+12;2024-09-28T15.53.39.015;0.420;-0.083;0.737;1.057;72.927;-32.378;-77.927
1,72753E+12;2024-09-28T15.53.39.025;0.430;-0.064;0.760;1.066;62.500;-30.976;-87.378
1,72753E+12;2024-09-28T15.53.39.035;0.440;-0.146;0.745;1.069;51.159;-32.195;-91.585
1,72753E+12;2024-09-28T15.53.39.045;0.450;-0.163;0.726;1.063;41.341;-35.854;-90.488
1,72753E+12;2024-09-28T15.53.39.055;0.460;-0.099;0.714;1.060;33.415;-38.049;-91.220
1,72753E+12;2024-09-28T15.53.39.065;0.470;-0.063;0.709;1.062;28.902;-40.061;-94.817
1,72753E+12;2024-09-28T15.53.39.075;0.480;-0.096;0.684;1.062;26.768;-45.122;-93.780
1,72753E+12;2024-09-28T15.53.39.085;0.490;-0.131;0.664;1.063;26.098;-53.415;-90.976
