epoc (ms),timestamp (+0300),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1727526281945,2024-09-28T15.24.41.945,0.000,0.364,1.486,0.847
1727526281955,2024-09-28T15.24.41.955,0.010,0.320,1.417,0.862
1727526281965,2024-09-28T15.24.41.965,0.020,0.293,1.329,0.835
1727526281975,2024-09-28T15.24.41.975,0.030,0.277,1.270,0.761
1727526281985,2024-09-28T15.24.41.985,0.040,0.309,1.190,0.691
1727526281995,2024-09-28T15.24.41.995,0.050,0.382,1.113,0.687
1727526282005,2024-09-28T15.24.42.005,0.060,0.437,1.065,0.756
1727526282015,2024-09-28T15.24.42.015,0.070,0.451,1.051,0.787
1727526282025,2024-09-28T15.24.42.025,0.080,0.361,1.036,0.700
1727526282035,2024-09-28T15.24.42.035,0.090,0.307,0.964,0.658
1727526282045,2024-09-28T15.24.42.045,0.100,0.379,0.896,0.629
1727526282055,2024-09-28T15.24.42.055,0.110,0.412,0.822,0.548
1727526282065,2024-09-28T15.24.42.065,0.120,0.366,0.707,0.470
1727526282075,2024-09-28T15.24.42.075,0.130,0.298,0.597,0.437
1727526282085,2024-09-28T15.24.42.085,0.140,0.316,0.513,0.415
1727526282095,2024-09-28T15.24.42.095,0.150,0.322,0.441,0.369
1727526282105,2024-09-28T15.24.42.105,0.160,0.282,0.363,0.347
1727526282115,2024-09-28T15.24.42.115,0.170,0.195,0.313,0.335
1727526282125,2024-09-28T15.24.42.125,0.180,0.110,0.282,0.312
1727526282135,2024-09-28T15.24.42.135,0.190,0.058,0.235,0.258
1727526282145,2024-09-28T15.24.42.145,0.200,0.026,0.148,0.178
1727526282155,2024-09-28T15.24.42.155,0.210,-0.025,0.034,0.115
1727526282165,2024-09-28T15.24.42.165,0.220,-0.078,-0.072,0.037
1727526282175,2024-09-28T15.24.42.175,0.230,-0.085,-0.182,-0.019
1727526282185,2024-09-28T15.24.42.185,0.240,-0.069,-0.280,-0.023
1727526282195,2024-09-28T15.24.42.195,0.250,-0.045,-0.401,0.034
1727526282205,2024-09-28T15.24.42.205,0.260,-0.028,-0.532,0.088
1727526282215,2024-09-28T15.24.42.215,0.270,-0.053,-0.625,0.108
1727526282225,2024-09-28T15.24.42.225,0.280,-0.084,-0.675,0.079
1727526282235,2024-09-28T15.24.42.235,0.290,-0.096,-0.708,0.020
1727526282245,2024-09-28T15.24.42.245,0.300,-0.125,-0.728,-0.047
1727526282255,2024-09-28T15.24.42.255,0.310,-0.182,-0.733,-0.110
1727526282265,2024-09-28T15.24.42.265,0.320,-0.197,-0.740,-0.147
1727526282275,2024-09-28T15.24.42.275,0.330,-0.179,-0.754,-0.150
1727526282285,2024-09-28T15.24.42.285,0.340,-0.171,-0.761,-0.129
1727526282295,2024-09-28T15.24.42.295,0.350,-0.169,-0.735,-0.088
1727526282305,2024-09-28T15.24.42.305,0.360,-0.151,-0.691,-0.016
1727526282315,2024-09-28T15.24.42.315,0.370,-0.100,-0.645,0.065
1727526282325,2024-09-28T15.24.42.325,0.380,-0.059,-0.609,0.163
1727526282335,2024-09-28T15.24.42.335,0.390,-0.076,-0.582,0.260
1727526282345,2024-09-28T15.24.42.345,0.400,-0.084,-0.521,0.341
1727526282355,2024-09-28T15.24.42.355,0.410,-0.031,-0.436,0.397
1727526282365,2024-09-28T15.24.42.365,0.420,0.057,-0.342,0.432
1727526282375,2024-09-28T15.24.42.375,0.430,0.137,-0.234,0.423
1727526282385,2024-09-28T15.24.42.385,0.440,0.209,-0.160,0.401
1727526282395,2024-09-28T15.24.42.395,0.450,0.273,-0.143,0.440
1727526282405,2024-09-28T15.24.42.405,0.460,0.345,-0.107,0.566
1727526282415,2024-09-28T15.24.42.415,0.470,0.414,-0.054,0.643
1727526282425,2024-09-28T15.24.42.425,0.480,0.416,-0.059,0.665
1727526282435,2024-09-28T15.24.42.435,0.490,0.351,-0.062,0.737
1727526282445,2024-09-28T15.24.42.445,0.500,0.344,-0.002,0.821
1727526282455,2024-09-28T15.24.42.455,0.510,0.335,0.048,0.751
1727526282465,2024-09-28T15.24.42.465,0.520,0.252,0.092,0.605
1727526282475,2024-09-28T15.24.42.475,0.530,0.209,0.182,0.506
1727526282485,2024-09-28T15.24.42.485,0.540,0.257,0.277,0.496
1727526282495,2024-09-28T15.24.42.495,0.550,0.353,0.349,0.581
1727526282505,2024-09-28T15.24.42.505,0.560,0.434,0.422,0.787
1727526282515,2024-09-28T15.24.42.515,0.570,0.547,0.521,1.034
1727526282525,2024-09-28T15.24.42.525,0.580,0.604,0.589,1.113
1727526282535,2024-09-28T15.24.42.535,0.590,0.557,0.584,1.055
1727526282545,2024-09-28T15.24.42.545,0.600,0.439,0.586,0.988
1727526282555,2024-09-28T15.24.42.555,0.610,0.288,0.645,0.877
1727526282565,2024-09-28T15.24.42.565,0.620,0.138,0.701,0.689
1727526282575,2024-09-28T15.24.42.575,0.630,0.053,0.746,0.534
1727526282585,2024-09-28T15.24.42.585,0.640,0.075,0.782,0.515
1727526282595,2024-09-28T15.24.42.595,0.650,0.162,0.792,0.613
1727526282605,2024-09-28T15.24.42.605,0.660,0.291,0.811,0.757
1727526282615,2024-09-28T15.24.42.615,0.670,0.408,0.836,0.855
1727526282625,2024-09-28T15.24.42.625,0.680,0.430,0.824,0.867
1727526282635,2024-09-28T15.24.42.635,0.690,0.364,0.833,0.877
1727526282645,2024-09-28T15.24.42.645,0.700,0.256,0.887,0.868
1727526282655,2024-09-28T15.24.42.655,0.710,0.110,0.938,0.767
1727526282665,2024-09-28T15.24.42.665,0.720,-0.009,0.994,0.643
1727526282675,2024-09-28T15.24.42.675,0.730,-0.060,1.069,0.577
1727526282685,2024-09-28T15.24.42.685,0.740,-0.038,1.128,0.564
1727526282695,2024-09-28T15.24.42.695,0.750,0.075,1.180,0.606
1727526282705,2024-09-28T15.24.42.705,0.760,0.249,1.213,0.688
1727526282715,2024-09-28T15.24.42.715,0.770,0.415,1.225,0.780
1727526282725,2024-09-28T15.24.42.725,0.780,0.487,1.220,0.844
1727526282735,2024-09-28T15.24.42.735,0.790,0.414,1.204,0.851
1727526282745,2024-09-28T15.24.42.745,0.800,0.265,1.200,0.811
1727526282755,2024-09-28T15.24.42.755,0.810,0.164,1.220,0.762
1727526282765,2024-09-28T15.24.42.765,0.820,0.137,1.259,0.721
1727526282775,2024-09-28T15.24.42.775,0.830,0.155,1.305,0.713
1727526282785,2024-09-28T15.24.42.785,0.840,0.192,1.326,0.747
1727526282795,2024-09-28T15.24.42.795,0.850,0.268,1.322,0.804
1727526282805,2024-09-28T15.24.42.805,0.860,0.353,1.305,0.855
1727526282815,2024-09-28T15.24.42.815,0.870,0.403,1.277,0.857
1727526282825,2024-09-28T15.24.42.825,0.880,0.388,1.246,0.837
1727526282835,2024-09-28T15.24.42.835,0.890,0.322,1.192,0.809
1727526282845,2024-09-28T15.24.42.845,0.900,0.273,1.144,0.777
1727526282855,2024-09-28T15.24.42.855,0.910,0.259,1.093,0.759
1727526282865,2024-09-28T15.24.42.865,0.920,0.281,1.041,0.733
1727526282875,2024-09-28T15.24.42.875,0.930,0.292,0.996,0.705
1727526282885,2024-09-28T15.24.42.885,0.940,0.274,0.962,0.667
1727526282895,2024-09-28T15.24.42.895,0.950,0.233,0.936,0.627
1727526282905,2024-09-28T15.24.42.905,0.960,0.178,0.930,0.570
1727526282915,2024-09-28T15.24.42.915,0.970,0.128,0.933,0.540
1727526282925,2024-09-28T15.24.42.925,0.980,0.096,0.948,0.574
