epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1727526281975,2024-09-28T15.24.41.975,0.000,-321.768,-15.976,114.939
1727526281985,2024-09-28T15.24.41.985,0.010,-320.305,-17.378,115.305
1727526281995,2024-09-28T15.24.41.995,0.020,-317.012,-23.780,117.317
1727526282005,2024-09-28T15.24.42.005,0.030,-315.610,-27.195,120.793
1727526282015,2024-09-28T15.24.42.015,0.040,-317.988,-24.390,127.317
1727526282025,2024-09-28T15.24.42.025,0.050,-319.634,-18.902,129.756
1727526282035,2024-09-28T15.24.42.035,0.060,-316.159,-11.890,126.341
1727526282045,2024-09-28T15.24.42.045,0.070,-309.329,-6.829,125.671
1727526282055,2024-09-28T15.24.42.055,0.080,-309.512,-4.451,133.598
1727526282065,2024-09-28T15.24.42.065,0.090,-313.415,-7.866,146.159
1727526282075,2024-09-28T15.24.42.075,0.100,-313.720,-12.988,148.902
1727526282085,2024-09-28T15.24.42.085,0.110,-315.122,-9.390,145.061
1727526282095,2024-09-28T15.24.42.095,0.120,-315.854,-2.622,146.402
1727526282105,2024-09-28T15.24.42.105,0.130,-310.549,2.744,149.085
1727526282115,2024-09-28T15.24.42.115,0.140,-300.000,9.878,144.695
1727526282125,2024-09-28T15.24.42.125,0.150,-288.232,21.524,135.793
1727526282135,2024-09-28T15.24.42.135,0.160,-275.549,32.256,128.537
1727526282145,2024-09-28T15.24.42.145,0.170,-261.768,39.573,123.963
1727526282155,2024-09-28T15.24.42.155,0.180,-250.793,46.463,124.634
1727526282165,2024-09-28T15.24.42.165,0.190,-244.390,49.756,131.890
1727526282175,2024-09-28T15.24.42.175,0.200,-240.427,39.085,134.207
1727526282185,2024-09-28T15.24.42.185,0.210,-237.988,17.256,124.085
1727526282195,2024-09-28T15.24.42.195,0.220,-235.915,-4.024,113.841
1727526282205,2024-09-28T15.24.42.205,0.230,-230.122,-23.476,108.232
1727526282215,2024-09-28T15.24.42.215,0.240,-217.622,-39.573,96.524
1727526282225,2024-09-28T15.24.42.225,0.250,-196.159,-46.524,79.756
1727526282235,2024-09-28T15.24.42.235,0.260,-164.451,-46.037,62.744
1727526282245,2024-09-28T15.24.42.245,0.270,-126.524,-39.756,43.293
1727526282255,2024-09-28T15.24.42.255,0.280,-87.317,-28.780,26.280
1727526282265,2024-09-28T15.24.42.265,0.290,-51.707,-15.427,16.585
1727526282275,2024-09-28T15.24.42.275,0.300,-22.622,-3.476,11.463
1727526282285,2024-09-28T15.24.42.285,0.310,0.549,2.927,8.780
1727526282295,2024-09-28T15.24.42.295,0.320,19.207,2.012,5.305
1727526282305,2024-09-28T15.24.42.305,0.330,35.610,-2.500,-3.049
1727526282315,2024-09-28T15.24.42.315,0.340,52.073,-5.366,-15.183
1727526282325,2024-09-28T15.24.42.325,0.350,69.390,-3.963,-27.744
1727526282335,2024-09-28T15.24.42.335,0.360,87.805,0.366,-39.878
1727526282345,2024-09-28T15.24.42.345,0.370,109.329,2.744,-54.390
1727526282355,2024-09-28T15.24.42.355,0.380,133.293,0.244,-71.585
1727526282365,2024-09-28T15.24.42.365,0.390,157.866,-4.939,-86.402
1727526282375,2024-09-28T15.24.42.375,0.400,178.963,-7.744,-94.634
1727526282385,2024-09-28T15.24.42.385,0.410,190.915,-4.024,-94.085
1727526282395,2024-09-28T15.24.42.395,0.420,193.659,0.976,-85.183
1727526282405,2024-09-28T15.24.42.405,0.430,186.402,1.220,-77.500
1727526282415,2024-09-28T15.24.42.415,0.440,172.012,-5.183,-76.585
1727526282425,2024-09-28T15.24.42.425,0.450,159.024,-14.268,-80.793
1727526282435,2024-09-28T15.24.42.435,0.460,154.695,-21.098,-89.390
1727526282445,2024-09-28T15.24.42.445,0.470,158.780,-20.549,-99.756
1727526282455,2024-09-28T15.24.42.455,0.480,168.659,-13.780,-105.183
1727526282465,2024-09-28T15.24.42.465,0.490,184.939,-9.329,-104.939
1727526282475,2024-09-28T15.24.42.475,0.500,206.341,-10.000,-108.110
1727526282485,2024-09-28T15.24.42.485,0.510,221.707,-6.585,-112.927
1727526282495,2024-09-28T15.24.42.495,0.520,223.780,4.024,-107.500
1727526282505,2024-09-28T15.24.42.505,0.530,218.780,7.500,-92.683
1727526282515,2024-09-28T15.24.42.515,0.540,210.915,1.463,-86.463
1727526282525,2024-09-28T15.24.42.525,0.550,206.098,-4.451,-94.207
1727526282535,2024-09-28T15.24.42.535,0.560,210.061,0.183,-103.415
1727526282545,2024-09-28T15.24.42.545,0.570,225.488,18.354,-109.207
1727526282555,2024-09-28T15.24.42.555,0.580,242.073,47.195,-111.951
1727526282565,2024-09-28T15.24.42.565,0.590,252.317,67.378,-110.244
1727526282575,2024-09-28T15.24.42.575,0.600,257.622,65.976,-108.902
1727526282585,2024-09-28T15.24.42.585,0.610,255.244,50.305,-107.317
1727526282595,2024-09-28T15.24.42.595,0.620,237.256,30.000,-95.183
1727526282605,2024-09-28T15.24.42.605,0.630,208.415,4.329,-73.720
1727526282615,2024-09-28T15.24.42.615,0.640,183.354,-23.902,-59.451
1727526282625,2024-09-28T15.24.42.625,0.650,169.695,-38.659,-61.220
1727526282635,2024-09-28T15.24.42.635,0.660,171.524,-31.159,-71.768
1727526282645,2024-09-28T15.24.42.645,0.670,186.037,-1.890,-83.049
1727526282655,2024-09-28T15.24.42.655,0.680,203.598,38.841,-91.159
1727526282665,2024-09-28T15.24.42.665,0.690,221.220,69.756,-94.146
1727526282675,2024-09-28T15.24.42.675,0.700,240.244,76.098,-93.476
1727526282685,2024-09-28T15.24.42.685,0.710,249.451,60.915,-88.902
1727526282695,2024-09-28T15.24.42.695,0.720,243.963,31.951,-81.341
1727526282705,2024-09-28T15.24.42.705,0.730,231.524,-4.024,-73.476
1727526282715,2024-09-28T15.24.42.715,0.740,218.963,-39.207,-70.244
1727526282725,2024-09-28T15.24.42.725,0.750,209.512,-58.720,-77.439
1727526282735,2024-09-28T15.24.42.735,0.760,206.159,-48.780,-89.939
1727526282745,2024-09-28T15.24.42.745,0.770,210.366,-11.829,-99.756
1727526282755,2024-09-28T15.24.42.755,0.780,220.244,31.037,-104.573
1727526282765,2024-09-28T15.24.42.765,0.790,231.220,55.610,-104.207
1727526282775,2024-09-28T15.24.42.775,0.800,239.268,55.183,-99.024
1727526282785,2024-09-28T15.24.42.785,0.810,240.915,38.537,-89.695
1727526282795,2024-09-28T15.24.42.795,0.820,233.841,20.122,-77.439
1727526282805,2024-09-28T15.24.42.805,0.830,218.537,7.683,-64.329
1727526282815,2024-09-28T15.24.42.815,0.840,199.268,3.780,-51.037
1727526282825,2024-09-28T15.24.42.825,0.850,178.537,7.927,-40.915
1727526282835,2024-09-28T15.24.42.835,0.860,154.817,18.963,-36.402
1727526282845,2024-09-28T15.24.42.845,0.870,128.659,29.512,-34.634
1727526282855,2024-09-28T15.24.42.855,0.880,102.012,31.768,-34.024
1727526282865,2024-09-28T15.24.42.865,0.890,76.768,26.280,-29.573
1727526282875,2024-09-28T15.24.42.875,0.900,55.427,16.890,-19.451
1727526282885,2024-09-28T15.24.42.885,0.910,39.451,8.780,-7.927
1727526282895,2024-09-28T15.24.42.895,0.920,27.317,5.427,1.098
1727526282905,2024-09-28T15.24.42.905,0.930,18.902,6.220,7.317
