epoc (ms);timestamp (+0300);elapsed (s);acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z
1,72753E+12;2024-09-28T15.24.41.945;0.000;0.364;1.486;0.847;-321.768;-15.976;114.939
1,72753E+12;2024-09-28T15.24.41.955;0.010;0.320;1.417;0.862;-320.305;-17.378;115.305
1,72753E+12;2024-09-28T15.24.41.965;0.020;0.293;1.329;0.835;-317.012;-23.780;117.317
1,72753E+12;2024-09-28T15.24.41.975;0.030;0.277;1.270;0.761;-315.610;-27.195;120.793
1,72753E+12;2024-09-28T15.24.41.985;0.040;0.309;1.190;0.691;-317.988;-24.390;127.317
1,72753E+12;2024-09-28T15.24.41.995;0.050;0.382;1.113;0.687;-319.634;-18.902;129.756
1,72753E+12;2024-09-28T15.24.42.005;0.060;0.437;1.065;0.756;-316.159;-11.890;126.341
1,72753E+12;2024-09-28T15.24.42.015;0.070;0.451;1.051;0.787;-309.329;-6.829;125.671
1,72753E+12;2024-09-28T15.24.42.025;0.080;0.361;1.036;0.700;-309.512;-4.451;133.598
1,72753E+12;2024-09-28T15.24.42.035;0.090;0.307;0.964;0.658;-313.415;-7.866;146.159
1,72753E+12;2024-09-28T15.24.42.045;0.100;0.379;0.896;0.629;-313.720;-12.988;148.902
1,72753E+12;2024-09-28T15.24.42.055;0.110;0.412;0.822;0.548;-315.122;-9.390;145.061
1,72753E+12;2024-09-28T15.24.42.065;0.120;0.366;0.707;0.470;-315.854;-2.622;146.402
1,72753E+12;2024-09-28T15.24.42.075;0.130;0.298;0.597;0.437;-310.549;2.744;149.085
1,72753E+12;2024-09-28T15.24.42.085;0.140;0.316;0.513;0.415;-300.000;9.878;144.695
1,72753E+12;2024-09-28T15.24.42.095;0.150;0.322;0.441;0.369;-288.232;21.524;135.793
1,72753E+12;2024-09-28T15.24.42.105;0.160;0.282;0.363;0.347;-275.549;32.256;128.537
1,72753E+12;2024-09-28T15.24.42.115;0.170;0.195;0.313;0.335;-261.768;39.573;123.963
1,72753E+12;2024-09-28T15.24.42.125;0.180;0.110;0.282;0.312;-250.793;46.463;124.634
1,72753E+12;2024-09-28T15.24.42.135;0.190;0.058;0.235;0.258;-244.390;49.756;131.890
1,72753E+12;2024-09-28T15.24.42.145;0.200;0.026;0.148;0.178;-240.427;39.085;134.207
1,72753E+12;2024-09-28T15.24.42.155;0.210;-0.025;0.034;0.115;-237.988;17.256;124.085
1,72753E+12;2024-09-28T15.24.42.165;0.220;-0.078;-0.072;0.037;-235.915;-4.024;113.841
1,72753E+12;2024-09-28T15.24.42.175;0.230;-0.085;-0.182;-0.019;-230.122;-23.476;108.232
1,72753E+12;2024-09-28T15.24.42.185;0.240;-0.069;-0.280;-0.023;-217.622;-39.573;96.524
1,72753E+12;2024-09-28T15.24.42.195;0.250;-0.045;-0.401;0.034;-196.159;-46.524;79.756
1,72753E+12;2024-09-28T15.24.42.205;0.260;-0.028;-0.532;0.088;-164.451;-46.037;62.744
1,72753E+12;2024-09-28T15.24.42.215;0.270;-0.053;-0.625;0.108;-126.524;-39.756;43.293
1,72753E+12;2024-09-28T15.24.42.225;0.280;-0.084;-0.675;0.079;-87.317;-28.780;26.280
1,72753E+12;2024-09-28T15.24.42.235;0.290;-0.096;-0.708;0.020;-51.707;-15.427;16.585
1,72753E+12;2024-09-28T15.24.42.245;0.300;-0.125;-0.728;-0.047;-22.622;-3.476;11.463
1,72753E+12;2024-09-28T15.24.42.255;0.310;-0.182;-0.733;-0.110;0.549;2.927;8.780
1,72753E+12;2024-09-28T15.24.42.265;0.320;-0.197;-0.740;-0.147;19.207;2.012;5.305
1,72753E+12;2024-09-28T15.24.42.275;0.330;-0.179;-0.754;-0.150;35.610;-2.500;-3.049
1,72753E+12;2024-09-28T15.24.42.285;0.340;-0.171;-0.761;-0.129;52.073;-5.366;-15.183
1,72753E+12;2024-09-28T15.24.42.295;0.350;-0.169;-0.735;-0.088;69.390;-3.963;-27.744
1,72753E+12;2024-09-28T15.24.42.305;0.360;-0.151;-0.691;-0.016;87.805;0.366;-39.878
1,72753E+12;2024-09-28T15.24.42.315;0.370;-0.100;-0.645;0.065;109.329;2.744;-54.390
1,72753E+12;2024-09-28T15.24.42.325;0.380;-0.059;-0.609;0.163;133.293;0.244;-71.585
1,72753E+12;2024-09-28T15.24.42.335;0.390;-0.076;-0.582;0.260;157.866;-4.939;-86.402
1,72753E+12;2024-09-28T15.24.42.345;0.400;-0.084;-0.521;0.341;178.963;-7.744;-94.634
1,72753E+12;2024-09-28T15.24.42.355;0.410;-0.031;-0.436;0.397;190.915;-4.024;-94.085
1,72753E+12;2024-09-28T15.24.42.365;0.420;0.057;-0.342;0.432;193.659;0.976;-85.183
1,72753E+12;2024-09-28T15.24.42.375;0.430;0.137;-0.234;0.423;186.402;1.220;-77.500
1,72753E+12;2024-09-28T15.24.42.385;0.440;0.209;-0.160;0.401;172.012;-5.183;-76.585
1,72753E+12;2024-09-28T15.24.42.395;0.450;0.273;-0.143;0.440;159.024;-14.268;-80.793
1,72753E+12;2024-09-28T15.24.42.405;0.460;0.345;-0.107;0.566;154.695;-21.098;-89.390
1,72753E+12;2024-09-28T15.24.42.415;0.470;0.414;-0.054;0.643;158.780;-20.549;-99.756
1,72753E+12;2024-09-28T15.24.42.425;0.480;0.416;-0.059;0.665;168.659;-13.780;-105.183
1,72753E+12;2024-09-28T15.24.42.435;0.490;0.351;-0.062;0.737;184.939;-9.329;-104.939
1,72753E+12;2024-09-28T15.24.42.445;0.500;0.344;-0.002;0.821;206.341;-10.000;-108.110
1,72753E+12;2024-09-28T15.24.42.455;0.510;0.335;0.048;0.751;221.707;-6.585;-112.927
1,72753E+12;2024-09-28T15.24.42.465;0.520;0.252;0.092;0.605;223.780;4.024;-107.500
1,72753E+12;2024-09-28T15.24.42.475;0.530;0.209;0.182;0.506;218.780;7.500;-92.683
1,72753E+12;2024-09-28T15.24.42.485;0.540;0.257;0.277;0.496;210.915;1.463;-86.463
1,72753E+12;2024-09-28T15.24.42.495;0.550;0.353;0.349;0.581;206.098;-4.451;-94.207
1,72753E+12;2024-09-28T15.24.42.505;0.560;0.434;0.422;0.787;210.061;0.183;-103.415
1,72753E+12;2024-09-28T15.24.42.515;0.570;0.547;0.521;1.034;225.488;18.354;-109.207
1,72753E+12;2024-09-28T15.24.42.525;0.580;0.604;0.589;1.113;242.073;47.195;-111.951
1,72753E+12;2024-09-28T15.24.42.535;0.590;0.557;0.584;1.055;252.317;67.378;-110.244
1,72753E+12;2024-09-28T15.24.42.545;0.600;0.439;0.586;0.988;257.622;65.976;-108.902
1,72753E+12;2024-09-28T15.24.42.555;0.610;0.288;0.645;0.877;255.244;50.305;-107.317
1,72753E+12;2024-09-28T15.24.42.565;0.620;0.138;0.701;0.689;237.256;30.000;-95.183
1,72753E+12;2024-09-28T15.24.42.575;0.630;0.053;0.746;0.534;208.415;4.329;-73.720
1,72753E+12;2024-09-28T15.24.42.585;0.640;0.075;0.782;0.515;183.354;-23.902;-59.451
1,72753E+12;2024-09-28T15.24.42.595;0.650;0.162;0.792;0.613;169.695;-38.659;-61.220
1,72753E+12;2024-09-28T15.24.42.605;0.660;0.291;0.811;0.757;171.524;-31.159;-71.768
1,72753E+12;2024-09-28T15.24.42.615;0.670;0.408;0.836;0.855;186.037;-1.890;-83.049
1,72753E+12;2024-09-28T15.24.42.625;0.680;0.430;0.824;0.867;203.598;38.841;-91.159
1,72753E+12;2024-09-28T15.24.42.635;0.690;0.364;0.833;0.877;221.220;69.756;-94.146
1,72753E+12;2024-09-28T15.24.42.645;0.700;0.256;0.887;0.868;240.244;76.098;-93.476
1,72753E+12;2024-09-28T15.24.42.655;0.710;0.110;0.938;0.767;249.451;60.915;-88.902
1,72753E+12;2024-09-28T15.24.42.665;0.720;-0.009;0.994;0.643;243.963;31.951;-81.341
1,72753E+12;2024-09-28T15.24.42.675;0.730;-0.060;1.069;0.577;231.524;-4.024;-73.476
1,72753E+12;2024-09-28T15.24.42.685;0.740;-0.038;1.128;0.564;218.963;-39.207;-70.244
1,72753E+12;2024-09-28T15.24.42.695;0.750;0.075;1.180;0.606;209.512;-58.720;-77.439
1,72753E+12;2024-09-28T15.24.42.705;0.760;0.249;1.213;0.688;206.159;-48.780;-89.939
1,72753E+12;2024-09-28T15.24.42.715;0.770;0.415;1.225;0.780;210.366;-11.829;-99.756
1,72753E+12;2024-09-28T15.24.42.725;0.780;0.487;1.220;0.844;220.244;31.037;-104.573
1,72753E+12;2024-09-28T15.24.42.735;0.790;0.414;1.204;0.851;231.220;55.610;-104.207
1,72753E+12;2024-09-28T15.24.42.745;0.800;0.265;1.200;0.811;239.268;55.183;-99.024
1,72753E+12;2024-09-28T15.24.42.755;0.810;0.164;1.220;0.762;240.915;38.537;-89.695
1,72753E+12;2024-09-28T15.24.42.765;0.820;0.137;1.259;0.721;233.841;20.122;-77.439
1,72753E+12;2024-09-28T15.24.42.775;0.830;0.155;1.305;0.713;218.537;7.683;-64.329
1,72753E+12;2024-09-28T15.24.42.785;0.840;0.192;1.326;0.747;199.268;3.780;-51.037
1,72753E+12;2024-09-28T15.24.42.795;0.850;0.268;1.322;0.804;178.537;7.927;-40.915
1,72753E+12;2024-09-28T15.24.42.805;0.860;0.353;1.305;0.855;154.817;18.963;-36.402
1,72753E+12;2024-09-28T15.24.42.815;0.870;0.403;1.277;0.857;128.659;29.512;-34.634
1,72753E+12;2024-09-28T15.24.42.825;0.880;0.388;1.246;0.837;102.012;31.768;-34.024
1,72753E+12;2024-09-28T15.24.42.835;0.890;0.322;1.192;0.809;76.768;26.280;-29.573
1,72753E+12;2024-09-28T15.24.42.845;0.900;0.273;1.144;0.777;55.427;16.890;-19.451
1,72753E+12;2024-09-28T15.24.42.855;0.910;0.259;1.093;0.759;39.451;8.780;-7.927
1,72753E+12;2024-09-28T15.24.42.865;0.920;0.281;1.041;0.733;27.317;5.427;1.098
1,72753E+12;2024-09-28T15.24.42.875;0.930;0.292;0.996;0.705;18.902;6.220;7.317
1,72753E+12;2024-09-28T15.24.42.885;0.940;0.274;0.962;0.667;12.561;6.159;11.585
1,72753E+12;2024-09-28T15.24.42.895;0.950;0.233;0.936;0.627;5.793;3.659;13.659
1,72753E+12;2024-09-28T15.24.42.905;0.960;0.178;0.930;0.570;-3.659;2.073;16.402
