epoc (ms),timestamp (+0300),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1727525940575,2024-09-28T15.19.00.575,0.000,0.071,1.100,0.760
1727525940585,2024-09-28T15.19.00.585,0.010,0.034,1.024,0.702
1727525940595,2024-09-28T15.19.00.595,0.020,0.048,0.927,0.634
1727525940605,2024-09-28T15.19.00.605,0.030,0.057,0.840,0.573
1727525940615,2024-09-28T15.19.00.615,0.040,0.076,0.777,0.537
1727525940625,2024-09-28T15.19.00.625,0.050,0.086,0.718,0.480
1727525940635,2024-09-28T15.19.00.635,0.060,0.071,0.646,0.427
1727525940645,2024-09-28T15.19.00.645,0.070,0.082,0.589,0.420
1727525940655,2024-09-28T15.19.00.655,0.080,0.086,0.551,0.415
1727525940665,2024-09-28T15.19.00.665,0.090,0.036,0.491,0.361
1727525940675,2024-09-28T15.19.00.675,0.100,-0.044,0.383,0.282
1727525940685,2024-09-28T15.19.00.685,0.110,-0.097,0.251,0.254
1727525940695,2024-09-28T15.19.00.695,0.120,-0.119,0.118,0.246
1727525940705,2024-09-28T15.19.00.705,0.130,-0.124,-0.002,0.237
1727525940715,2024-09-28T15.19.00.715,0.140,-0.085,-0.097,0.243
1727525940725,2024-09-28T15.19.00.725,0.150,-0.023,-0.156,0.245
1727525940735,2024-09-28T15.19.00.735,0.160,0.051,-0.197,0.254
1727525940745,2024-09-28T15.19.00.745,0.170,0.079,-0.224,0.273
1727525940755,2024-09-28T15.19.00.755,0.180,0.052,-0.253,0.279
1727525940765,2024-09-28T15.19.00.765,0.190,0.023,-0.292,0.271
1727525940775,2024-09-28T15.19.00.775,0.200,0.013,-0.344,0.260
1727525940785,2024-09-28T15.19.00.785,0.210,-0.016,-0.406,0.235
1727525940795,2024-09-28T15.19.00.795,0.220,-0.032,-0.465,0.226
1727525940805,2024-09-28T15.19.00.805,0.230,-0.006,-0.512,0.231
1727525940815,2024-09-28T15.19.00.815,0.240,0.020,-0.543,0.242
1727525940825,2024-09-28T15.19.00.825,0.250,0.025,-0.558,0.257
1727525940835,2024-09-28T15.19.00.835,0.260,0.013,-0.561,0.260
1727525940845,2024-09-28T15.19.00.845,0.270,-0.018,-0.567,0.237
1727525940855,2024-09-28T15.19.00.855,0.280,-0.065,-0.575,0.212
1727525940865,2024-09-28T15.19.00.865,0.290,-0.098,-0.565,0.196
1727525940875,2024-09-28T15.19.00.875,0.300,-0.106,-0.539,0.206
1727525940885,2024-09-28T15.19.00.885,0.310,-0.109,-0.502,0.218
1727525940895,2024-09-28T15.19.00.895,0.320,-0.106,-0.460,0.201
1727525940905,2024-09-28T15.19.00.905,0.330,-0.100,-0.418,0.191
1727525940915,2024-09-28T15.19.00.915,0.340,-0.103,-0.376,0.210
1727525940925,2024-09-28T15.19.00.925,0.350,-0.107,-0.327,0.248
1727525940935,2024-09-28T15.19.00.935,0.360,-0.094,-0.283,0.287
1727525940945,2024-09-28T15.19.00.945,0.370,-0.063,-0.237,0.308
1727525940955,2024-09-28T15.19.00.955,0.380,-0.058,-0.181,0.297
1727525940965,2024-09-28T15.19.00.965,0.390,-0.082,-0.120,0.264
1727525940975,2024-09-28T15.19.00.975,0.400,-0.083,-0.033,0.274
1727525940985,2024-09-28T15.19.00.985,0.410,-0.054,0.064,0.387
1727525940995,2024-09-28T15.19.00.995,0.420,0.025,0.169,0.599
1727525941005,2024-09-28T15.19.01.005,0.430,0.154,0.282,0.794
1727525941015,2024-09-28T15.19.01.015,0.440,0.221,0.357,0.852
1727525941025,2024-09-28T15.19.01.025,0.450,0.123,0.417,0.773
1727525941035,2024-09-28T15.19.01.035,0.460,-0.002,0.475,0.685
1727525941045,2024-09-28T15.19.01.045,0.470,-0.004,0.509,0.664
1727525941055,2024-09-28T15.19.01.055,0.480,0.045,0.530,0.677
1727525941065,2024-09-28T15.19.01.065,0.490,0.078,0.554,0.697
1727525941075,2024-09-28T15.19.01.075,0.500,0.135,0.593,0.746
1727525941085,2024-09-28T15.19.01.085,0.510,0.197,0.646,0.843
1727525941095,2024-09-28T15.19.01.095,0.520,0.221,0.715,0.952
