epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1727525940575,2024-09-28T15.19.00.575,0.000,-305.549,9.817,98.293
1727525940585,2024-09-28T15.19.00.585,0.010,-305.793,9.451,97.927
1727525940595,2024-09-28T15.19.00.595,0.020,-305.671,7.012,95.366
1727525940605,2024-09-28T15.19.00.605,0.030,-303.171,7.866,91.037
1727525940615,2024-09-28T15.19.00.615,0.040,-297.256,14.512,88.963
1727525940625,2024-09-28T15.19.00.625,0.050,-288.598,23.659,87.622
1727525940635,2024-09-28T15.19.00.635,0.060,-280.244,31.707,85.793
1727525940645,2024-09-28T15.19.00.645,0.070,-270.854,34.939,81.341
1727525940655,2024-09-28T15.19.00.655,0.080,-260.183,32.378,70.793
1727525940665,2024-09-28T15.19.00.665,0.090,-251.463,24.146,60.488
1727525940675,2024-09-28T15.19.00.675,0.100,-245.427,11.220,55.488
1727525940685,2024-09-28T15.19.00.685,0.110,-239.695,-2.134,54.329
1727525940695,2024-09-28T15.19.00.695,0.120,-228.963,-13.659,54.939
1727525940705,2024-09-28T15.19.00.705,0.130,-213.354,-20.610,57.256
1727525940715,2024-09-28T15.19.00.715,0.140,-195.793,-21.707,59.207
1727525940725,2024-09-28T15.19.00.725,0.150,-177.195,-16.402,58.720
1727525940735,2024-09-28T15.19.00.735,0.160,-157.866,-6.951,54.756
1727525940745,2024-09-28T15.19.00.745,0.170,-139.634,1.280,49.512
1727525940755,2024-09-28T15.19.00.755,0.180,-122.561,2.378,45.366
1727525940765,2024-09-28T15.19.00.765,0.190,-107.744,-2.561,41.646
1727525940775,2024-09-28T15.19.00.775,0.200,-94.146,-9.512,37.561
1727525940785,2024-09-28T15.19.00.785,0.210,-80.915,-16.463,35.305
1727525940795,2024-09-28T15.19.00.795,0.220,-67.073,-22.866,34.695
1727525940805,2024-09-28T15.19.00.805,0.230,-51.707,-25.549,32.073
1727525940815,2024-09-28T15.19.00.815,0.240,-35.244,-21.463,27.378
1727525940825,2024-09-28T15.19.00.825,0.250,-17.988,-13.902,22.500
1727525940835,2024-09-28T15.19.00.835,0.260,-1.280,-7.073,16.220
1727525940845,2024-09-28T15.19.00.845,0.270,14.268,-3.720,8.476
1727525940855,2024-09-28T15.19.00.855,0.280,28.232,-4.756,-0.244
1727525940865,2024-09-28T15.19.00.865,0.290,42.073,-7.988,-9.390
1727525940875,2024-09-28T15.19.00.875,0.300,55.854,-8.598,-18.841
1727525940885,2024-09-28T15.19.00.885,0.310,69.695,-6.951,-26.585
1727525940895,2024-09-28T15.19.00.895,0.320,82.378,-4.329,-34.451
1727525940905,2024-09-28T15.19.00.905,0.330,93.659,1.402,-42.195
1727525940915,2024-09-28T15.19.00.915,0.340,106.220,5.915,-47.134
1727525940925,2024-09-28T15.19.00.925,0.350,121.220,6.037,-51.159
1727525940935,2024-09-28T15.19.00.935,0.360,138.659,4.207,-56.707
1727525940945,2024-09-28T15.19.00.945,0.370,156.159,2.988,-62.866
1727525940955,2024-09-28T15.19.00.955,0.380,171.646,1.829,-68.659
1727525940965,2024-09-28T15.19.00.965,0.390,184.146,0.671,-72.378
1727525940975,2024-09-28T15.19.00.975,0.400,193.415,3.598,-73.841
1727525940985,2024-09-28T15.19.00.985,0.410,203.598,10.854,-71.463
1727525940995,2024-09-28T15.19.00.995,0.420,220.244,18.720,-70.061
1727525941005,2024-09-28T15.19.01.005,0.430,240.488,27.622,-78.293
1727525941015,2024-09-28T15.19.01.015,0.440,252.439,35.610,-91.220
1727525941025,2024-09-28T15.19.01.025,0.450,250.488,34.085,-96.341
1727525941035,2024-09-28T15.19.01.035,0.460,239.390,21.280,-91.951
1727525941045,2024-09-28T15.19.01.045,0.470,228.841,4.207,-88.415
1727525941055,2024-09-28T15.19.01.055,0.480,223.659,-7.744,-90.122
1727525941065,2024-09-28T15.19.01.065,0.490,224.817,-10.732,-91.037
1727525941075,2024-09-28T15.19.01.075,0.500,234.939,-4.390,-90.915
1727525941085,2024-09-28T15.19.01.085,0.510,253.537,9.451,-92.561
1727525941095,2024-09-28T15.19.01.095,0.520,278.110,22.744,-94.634
1727525941105,2024-09-28T15.19.01.105,0.530,302.866,27.134,-97.134
1727525941115,2024-09-28T15.19.01.115,0.540,317.988,16.646,-99.512
1727525941125,2024-09-28T15.19.01.125,0.550,313.293,-7.134,-98.902
1727525941135,2024-09-28T15.19.01.135,0.560,292.927,-34.512,-93.902
