epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1727526765218,2024-09-28T15.32.45.218,0.000,7.134,4.146,38.171
1727526765228,2024-09-28T15.32.45.228,0.010,7.439,3.537,39.207
1727526765238,2024-09-28T15.32.45.238,0.020,9.024,2.439,43.049
1727526765248,2024-09-28T15.32.45.248,0.030,11.098,1.220,48.293
1727526765258,2024-09-28T15.32.45.258,0.040,12.744,1.159,51.951
1727526765268,2024-09-28T15.32.45.268,0.050,13.598,1.402,57.134
1727526765278,2024-09-28T15.32.45.278,0.060,13.476,-0.488,64.939
1727526765288,2024-09-28T15.32.45.288,0.070,12.378,-3.232,72.805
1727526765298,2024-09-28T15.32.45.298,0.080,10.488,-5.122,82.073
1727526765308,2024-09-28T15.32.45.308,0.090,8.293,-6.341,93.110
1727526765318,2024-09-28T15.32.45.318,0.100,6.220,-8.963,103.963
1727526765328,2024-09-28T15.32.45.328,0.110,5.183,-12.866,112.805
1727526765338,2024-09-28T15.32.45.338,0.120,5.244,-16.037,120.366
1727526765348,2024-09-28T15.32.45.348,0.130,6.646,-17.134,129.146
1727526765358,2024-09-28T15.32.45.358,0.140,8.841,-15.183,138.659
1727526765368,2024-09-28T15.32.45.368,0.150,12.134,-9.390,145.488
1727526765378,2024-09-28T15.32.45.378,0.160,15.183,-0.671,149.207
1727526765388,2024-09-28T15.32.45.388,0.170,17.805,7.500,153.659
1727526765398,2024-09-28T15.32.45.398,0.180,20.305,12.622,159.695
1727526765408,2024-09-28T15.32.45.408,0.190,22.988,15.122,164.939
1727526765418,2024-09-28T15.32.45.418,0.200,25.976,16.037,170.000
1727526765428,2024-09-28T15.32.45.428,0.210,28.171,16.890,175.061
1727526765438,2024-09-28T15.32.45.438,0.220,28.963,19.817,178.720
1727526765448,2024-09-28T15.32.45.448,0.230,28.476,26.585,181.829
1727526765458,2024-09-28T15.32.45.458,0.240,27.500,36.037,183.171
1727526765468,2024-09-28T15.32.45.468,0.250,26.402,46.159,180.549
1727526765478,2024-09-28T15.32.45.478,0.260,24.756,51.463,178.110
1727526765488,2024-09-28T15.32.45.488,0.270,22.805,48.537,177.744
1727526765498,2024-09-28T15.32.45.498,0.280,21.524,37.256,182.378
1727526765508,2024-09-28T15.32.45.508,0.290,22.317,19.085,189.756
1727526765518,2024-09-28T15.32.45.518,0.300,24.268,1.159,192.622
1727526765528,2024-09-28T15.32.45.528,0.310,27.805,-10.000,190.061
1727526765538,2024-09-28T15.32.45.538,0.320,31.890,-12.256,185.488
1727526765548,2024-09-28T15.32.45.548,0.330,35.366,-6.707,180.915
1727526765558,2024-09-28T15.32.45.558,0.340,37.378,3.720,177.378
1727526765568,2024-09-28T15.32.45.568,0.350,37.195,16.524,174.573
1727526765578,2024-09-28T15.32.45.578,0.360,34.512,28.049,172.744
1727526765588,2024-09-28T15.32.45.588,0.370,29.817,33.476,172.988
1727526765598,2024-09-28T15.32.45.598,0.380,25.305,28.720,174.390
1727526765608,2024-09-28T15.32.45.608,0.390,23.232,15.488,172.012
1727526765618,2024-09-28T15.32.45.618,0.400,21.646,2.805,164.085
1727526765628,2024-09-28T15.32.45.628,0.410,20.122,-7.012,157.805
1727526765638,2024-09-28T15.32.45.638,0.420,19.756,-13.476,153.720
1727526765648,2024-09-28T15.32.45.648,0.430,21.220,-16.646,151.220
1727526765658,2024-09-28T15.32.45.658,0.440,24.512,-19.024,150.915
1727526765668,2024-09-28T15.32.45.668,0.450,29.085,-22.073,148.232
1727526765678,2024-09-28T15.32.45.678,0.460,35.183,-25.793,141.646
1727526765688,2024-09-28T15.32.45.688,0.470,41.585,-30.793,133.293
1727526765698,2024-09-28T15.32.45.698,0.480,46.037,-34.512,122.805
1727526765708,2024-09-28T15.32.45.708,0.490,46.341,-31.524,107.439
1727526765718,2024-09-28T15.32.45.718,0.500,43.354,-17.866,86.829
1727526765728,2024-09-28T15.32.45.728,0.510,37.622,4.451,64.939
1727526765738,2024-09-28T15.32.45.738,0.520,32.256,25.183,46.890
1727526765748,2024-09-28T15.32.45.748,0.530,27.622,36.463,33.963
1727526765758,2024-09-28T15.32.45.758,0.540,20.732,38.110,17.561
1727526765768,2024-09-28T15.32.45.768,0.550,14.146,29.146,-2.134
1727526765778,2024-09-28T15.32.45.778,0.560,7.073,12.134,-18.963
1727526765788,2024-09-28T15.32.45.788,0.570,-1.220,-4.146,-33.598
1727526765798,2024-09-28T15.32.45.798,0.580,-9.390,-15.793,-47.561
1727526765808,2024-09-28T15.32.45.808,0.590,-16.890,-22.805,-59.817
1727526765818,2024-09-28T15.32.45.818,0.600,-22.378,-24.512,-69.634
1727526765828,2024-09-28T15.32.45.828,0.610,-26.768,-20.366,-79.695
1727526765838,2024-09-28T15.32.45.838,0.620,-31.220,-10.488,-90.061
1727526765848,2024-09-28T15.32.45.848,0.630,-34.512,3.476,-99.512
1727526765858,2024-09-28T15.32.45.858,0.640,-36.829,17.256,-108.841
1727526765868,2024-09-28T15.32.45.868,0.650,-38.476,25.183,-116.646
1727526765878,2024-09-28T15.32.45.878,0.660,-39.634,24.817,-123.110
1727526765888,2024-09-28T15.32.45.888,0.670,-40.122,17.256,-128.171
1727526765898,2024-09-28T15.32.45.898,0.680,-40.061,4.207,-131.707
1727526765908,2024-09-28T15.32.45.908,0.690,-40.122,-11.646,-133.354
1727526765918,2024-09-28T15.32.45.918,0.700,-40.976,-27.744,-133.720
1727526765928,2024-09-28T15.32.45.928,0.710,-42.622,-41.280,-134.268
1727526765938,2024-09-28T15.32.45.938,0.720,-43.963,-49.695,-135.671
1727526765948,2024-09-28T15.32.45.948,0.730,-45.122,-48.293,-139.634
1727526765958,2024-09-28T15.32.45.958,0.740,-44.878,-36.524,-144.512
1727526765968,2024-09-28T15.32.45.968,0.750,-41.951,-18.171,-149.451
1727526765978,2024-09-28T15.32.45.978,0.760,-37.744,-0.366,-154.146
1727526765988,2024-09-28T15.32.45.988,0.770,-32.500,12.073,-158.232
1727526765998,2024-09-28T15.32.45.998,0.780,-27.439,16.402,-160.915
1727526766008,2024-09-28T15.32.46.008,0.790,-25.000,12.317,-163.049
1727526766018,2024-09-28T15.32.46.018,0.800,-25.122,1.159,-163.049
1727526766028,2024-09-28T15.32.46.028,0.810,-26.220,-16.585,-160.488
1727526766038,2024-09-28T15.32.46.038,0.820,-29.146,-34.451,-160.305
1727526766048,2024-09-28T15.32.46.048,0.830,-32.500,-42.988,-163.963
1727526766058,2024-09-28T15.32.46.058,0.840,-33.476,-38.415,-167.988
1727526766068,2024-09-28T15.32.46.068,0.850,-32.866,-22.622,-170.732
1727526766078,2024-09-28T15.32.46.078,0.860,-32.500,1.037,-174.451
1727526766088,2024-09-28T15.32.46.088,0.870,-33.232,25.671,-179.878
1727526766098,2024-09-28T15.32.46.098,0.880,-34.573,43.902,-184.024
1727526766108,2024-09-28T15.32.46.108,0.890,-36.524,50.854,-184.695
1727526766118,2024-09-28T15.32.46.118,0.900,-38.963,49.817,-184.939
1727526766128,2024-09-28T15.32.46.128,0.910,-41.585,47.378,-183.232
1727526766138,2024-09-28T15.32.46.138,0.920,-42.439,46.829,-178.659
1727526766148,2024-09-28T15.32.46.148,0.930,-40.732,45.244,-172.927
1727526766158,2024-09-28T15.32.46.158,0.940,-37.927,38.354,-167.500
1727526766168,2024-09-28T15.32.46.168,0.950,-35.000,26.341,-161.524
1727526766178,2024-09-28T15.32.46.178,0.960,-31.890,11.524,-154.695
1727526766188,2024-09-28T15.32.46.188,0.970,-28.902,-3.902,-147.561
1727526766198,2024-09-28T15.32.46.198,0.980,-25.610,-14.878,-143.110
1727526766208,2024-09-28T15.32.46.208,0.990,-22.012,-15.183,-142.866
1727526766218,2024-09-28T15.32.46.218,1.000,-18.293,-6.890,-141.585
1727526766228,2024-09-28T15.32.46.228,1.010,-14.329,3.902,-137.500
1727526766238,2024-09-28T15.32.46.238,1.020,-11.159,15.000,-133.720
