epoc (ms),timestamp (+0300),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1727526791918,2024-09-28T15.33.11.918,0.000,0.028,0.183,0.914
1727526791928,2024-09-28T15.33.11.928,0.010,0.035,0.171,0.903
1727526791938,2024-09-28T15.33.11.938,0.020,0.022,0.153,0.914
1727526791948,2024-09-28T15.33.11.948,0.030,0.006,0.146,0.939
1727526791958,2024-09-28T15.33.11.958,0.040,0.013,0.147,0.949
1727526791968,2024-09-28T15.33.11.968,0.050,0.025,0.154,0.955
1727526791978,2024-09-28T15.33.11.978,0.060,0.021,0.156,0.960
1727526791988,2024-09-28T15.33.11.988,0.070,-0.001,0.142,0.958
1727526791998,2024-09-28T15.33.11.998,0.080,-0.035,0.124,0.938
1727526792008,2024-09-28T15.33.12.008,0.090,-0.058,0.104,0.932
1727526792018,2024-09-28T15.33.12.018,0.100,-0.079,0.092,0.971
1727526792028,2024-09-28T15.33.12.028,0.110,-0.144,0.092,1.036
1727526792038,2024-09-28T15.33.12.038,0.120,-0.215,0.086,1.089
1727526792048,2024-09-28T15.33.12.048,0.130,-0.231,0.094,1.144
1727526792058,2024-09-28T15.33.12.058,0.140,-0.223,0.098,1.169
1727526792068,2024-09-28T15.33.12.068,0.150,-0.202,0.090,1.163
1727526792078,2024-09-28T15.33.12.078,0.160,-0.180,0.077,1.142
1727526792088,2024-09-28T15.33.12.088,0.170,-0.154,0.055,1.117
1727526792098,2024-09-28T15.33.12.098,0.180,-0.132,0.024,1.100
1727526792108,2024-09-28T15.33.12.108,0.190,-0.130,-0.014,1.085
1727526792118,2024-09-28T15.33.12.118,0.200,-0.155,-0.044,1.063
1727526792128,2024-09-28T15.33.12.128,0.210,-0.196,-0.053,1.044
1727526792138,2024-09-28T15.33.12.138,0.220,-0.193,-0.042,1.034
1727526792148,2024-09-28T15.33.12.148,0.230,-0.168,-0.024,1.027
1727526792158,2024-09-28T15.33.12.158,0.240,-0.166,-0.006,1.027
1727526792168,2024-09-28T15.33.12.168,0.250,-0.151,0.025,1.038
1727526792178,2024-09-28T15.33.12.178,0.260,-0.092,0.066,1.045
1727526792188,2024-09-28T15.33.12.188,0.270,-0.062,0.094,1.033
1727526792198,2024-09-28T15.33.12.198,0.280,-0.070,0.113,1.026
1727526792208,2024-09-28T15.33.12.208,0.290,-0.081,0.138,1.012
1727526792218,2024-09-28T15.33.12.218,0.300,-0.090,0.152,1.004
1727526792228,2024-09-28T15.33.12.228,0.310,-0.094,0.161,0.994
1727526792238,2024-09-28T15.33.12.238,0.320,-0.093,0.159,0.976
1727526792248,2024-09-28T15.33.12.248,0.330,-0.078,0.147,0.962
1727526792258,2024-09-28T15.33.12.258,0.340,-0.063,0.133,0.943
1727526792268,2024-09-28T15.33.12.268,0.350,-0.049,0.119,0.927
1727526792278,2024-09-28T15.33.12.278,0.360,-0.010,0.125,0.928
1727526792288,2024-09-28T15.33.12.288,0.370,0.064,0.149,0.964
1727526792298,2024-09-28T15.33.12.298,0.380,0.150,0.188,0.992
1727526792308,2024-09-28T15.33.12.308,0.390,0.215,0.204,0.972
1727526792318,2024-09-28T15.33.12.318,0.400,0.226,0.185,0.928
1727526792328,2024-09-28T15.33.12.328,0.410,0.208,0.171,0.883
1727526792338,2024-09-28T15.33.12.338,0.420,0.196,0.173,0.850
1727526792348,2024-09-28T15.33.12.348,0.430,0.225,0.165,0.858
1727526792358,2024-09-28T15.33.12.358,0.440,0.274,0.146,0.878
1727526792368,2024-09-28T15.33.12.368,0.450,0.342,0.125,0.924
1727526792378,2024-09-28T15.33.12.378,0.460,0.394,0.105,0.986
1727526792388,2024-09-28T15.33.12.388,0.470,0.367,0.089,1.031
1727526792398,2024-09-28T15.33.12.398,0.480,0.295,0.083,1.041
1727526792408,2024-09-28T15.33.12.408,0.490,0.280,0.091,1.026
1727526792418,2024-09-28T15.33.12.418,0.500,0.283,0.116,1.005
1727526792428,2024-09-28T15.33.12.428,0.510,0.278,0.137,0.982
1727526792438,2024-09-28T15.33.12.438,0.520,0.304,0.158,0.958
1727526792448,2024-09-28T15.33.12.448,0.530,0.327,0.175,0.934
1727526792458,2024-09-28T15.33.12.458,0.540,0.332,0.160,0.945
1727526792468,2024-09-28T15.33.12.468,0.550,0.381,0.135,0.976
1727526792478,2024-09-28T15.33.12.478,0.560,0.419,0.123,1.021
1727526792488,2024-09-28T15.33.12.488,0.570,0.440,0.105,1.041
1727526792498,2024-09-28T15.33.12.498,0.580,0.464,0.082,1.033
1727526792508,2024-09-28T15.33.12.508,0.590,0.474,0.053,1.019
1727526792518,2024-09-28T15.33.12.518,0.600,0.435,0.028,1.006
1727526792528,2024-09-28T15.33.12.528,0.610,0.381,0.017,0.980
1727526792538,2024-09-28T15.33.12.538,0.620,0.350,0.014,0.962
1727526792548,2024-09-28T15.33.12.548,0.630,0.305,0.002,0.949
1727526792558,2024-09-28T15.33.12.558,0.640,0.276,-0.011,0.926
1727526792568,2024-09-28T15.33.12.568,0.650,0.319,-0.006,0.915
