epoc (ms);timestamp (+0300);elapsed (s);acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z
1,72753E+12;2024-09-28T15.30.24.278;0.000;-0.128;-0.004;1.061;-9.451;-21.890;-55.854
1,72753E+12;2024-09-28T15.30.24.288;0.010;-0.037;0.023;1.047;-10.305;-19.268;-57.012
1,72753E+12;2024-09-28T15.30.24.298;0.020;0.037;0.040;1.021;-15.488;-6.524;-63.354
1,72753E+12;2024-09-28T15.30.24.308;0.030;0.061;0.035;1.016;-21.707;7.134;-70.244
1,72753E+12;2024-09-28T15.30.24.318;0.040;0.036;0.015;1.028;-25.427;11.585;-77.073
1,72753E+12;2024-09-28T15.30.24.328;0.050;-0.023;0.002;1.055;-26.951;7.195;-82.866
1,72753E+12;2024-09-28T15.30.24.338;0.060;-0.071;-0.004;1.086;-27.805;-4.756;-88.415
1,72753E+12;2024-09-28T15.30.24.348;0.070;-0.072;0.009;1.108;-27.866;-20.305;-97.134
1,72753E+12;2024-09-28T15.30.24.358;0.080;-0.064;0.043;1.109;-28.232;-32.317;-107.012
1,72753E+12;2024-09-28T15.30.24.368;0.090;-0.040;0.077;1.074;-30.793;-36.890;-112.500
1,72753E+12;2024-09-28T15.30.24.378;0.100;0.013;0.113;1.021;-35.061;-34.024;-114.695
1,72753E+12;2024-09-28T15.30.24.388;0.110;0.076;0.140;0.971;-40.610;-26.829;-116.768
1,72753E+12;2024-09-28T15.30.24.398;0.120;0.119;0.140;0.950;-44.878;-17.256;-119.390
1,72753E+12;2024-09-28T15.30.24.408;0.130;0.121;0.113;0.959;-45.854;-7.073;-122.439
1,72753E+12;2024-09-28T15.30.24.418;0.140;0.115;0.087;0.959;-45.244;0.610;-125.549
1,72753E+12;2024-09-28T15.30.24.428;0.150;0.123;0.063;0.947;-45.000;5.244;-129.268
1,72753E+12;2024-09-28T15.30.24.438;0.160;0.154;0.055;0.946;-43.720;5.488;-134.512
1,72753E+12;2024-09-28T15.30.24.448;0.170;0.169;0.066;0.938;-39.756;0.732;-142.134
1,72753E+12;2024-09-28T15.30.24.458;0.180;0.134;0.082;0.917;-34.573;-8.780;-145.793
1,72753E+12;2024-09-28T15.30.24.468;0.190;0.127;0.096;0.887;-28.354;-21.402;-144.329
1,72753E+12;2024-09-28T15.30.24.478;0.200;0.144;0.108;0.848;-21.280;-34.268;-140.427
1,72753E+12;2024-09-28T15.30.24.488;0.210;0.178;0.108;0.806;-14.756;-45.061;-135.061
1,72753E+12;2024-09-28T15.30.24.498;0.220;0.232;0.119;0.785;-11.463;-50.061;-130.732
1,72753E+12;2024-09-28T15.30.24.508;0.230;0.330;0.166;0.779;-11.280;-44.817;-129.390
1,72753E+12;2024-09-28T15.30.24.518;0.240;0.466;0.216;0.800;-11.829;-24.573;-132.134
1,72753E+12;2024-09-28T15.30.24.528;0.250;0.548;0.233;0.860;-12.317;5.915;-135.122
1,72753E+12;2024-09-28T15.30.24.538;0.260;0.510;0.231;0.894;-12.561;30.061;-134.939
1,72753E+12;2024-09-28T15.30.24.548;0.270;0.402;0.218;0.909;-14.146;37.195;-134.634
1,72753E+12;2024-09-28T15.30.24.558;0.280;0.313;0.188;0.935;-17.012;27.073;-136.098
1,72753E+12;2024-09-28T15.30.24.568;0.290;0.253;0.178;0.970;-19.085;6.098;-137.622
1,72753E+12;2024-09-28T15.30.24.578;0.300;0.221;0.167;0.989;-20.305;-17.622;-137.134
1,72753E+12;2024-09-28T15.30.24.588;0.310;0.244;0.167;0.992;-22.378;-35.854;-135.366
1,72753E+12;2024-09-28T15.30.24.598;0.320;0.338;0.171;0.992;-24.390;-40.854;-135.061
1,72753E+12;2024-09-28T15.30.24.608;0.330;0.447;0.171;1.004;-26.098;-30.976;-134.573
