epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1727527325951,2024-09-28T15.42.05.951,0.000,51.951,21.829,194.634
1727527325961,2024-09-28T15.42.05.961,0.010,52.317,22.744,194.268
1727527325971,2024-09-28T15.42.05.971,0.020,52.866,23.780,191.463
1727527325981,2024-09-28T15.42.05.981,0.030,52.561,21.829,188.293
1727527325991,2024-09-28T15.42.05.991,0.040,49.634,15.549,186.159
1727527326001,2024-09-28T15.42.06.001,0.050,45.488,12.012,184.268
1727527326011,2024-09-28T15.42.06.011,0.060,40.610,16.707,182.927
1727527326021,2024-09-28T15.42.06.021,0.070,35.610,26.768,180.671
1727527326031,2024-09-28T15.42.06.031,0.080,33.354,36.402,177.683
1727527326041,2024-09-28T15.42.06.041,0.090,33.232,40.610,177.195
1727527326051,2024-09-28T15.42.06.051,0.100,35.000,37.561,178.415
1727527326061,2024-09-28T15.42.06.061,0.110,39.695,29.573,177.500
1727527326071,2024-09-28T15.42.06.071,0.120,47.195,21.463,175.488
1727527326081,2024-09-28T15.42.06.081,0.130,56.646,14.329,175.793
1727527326091,2024-09-28T15.42.06.091,0.140,67.439,6.463,174.390
1727527326101,2024-09-28T15.42.06.101,0.150,76.890,-1.646,169.024
1727527326111,2024-09-28T15.42.06.111,0.160,83.232,-9.512,164.085
1727527326121,2024-09-28T15.42.06.121,0.170,84.268,-17.195,161.463
1727527326131,2024-09-28T15.42.06.131,0.180,79.329,-20.854,158.171
1727527326141,2024-09-28T15.42.06.141,0.190,69.573,-17.134,152.988
1727527326151,2024-09-28T15.42.06.151,0.200,57.134,-6.646,147.988
1727527326161,2024-09-28T15.42.06.161,0.210,46.037,6.098,141.159
1727527326171,2024-09-28T15.42.06.171,0.220,39.207,17.683,130.488
1727527326181,2024-09-28T15.42.06.181,0.230,36.098,23.598,119.146
1727527326191,2024-09-28T15.42.06.191,0.240,34.390,21.098,108.902
1727527326201,2024-09-28T15.42.06.201,0.250,33.598,11.707,97.683
1727527326211,2024-09-28T15.42.06.211,0.260,33.841,-0.244,82.500
1727527326221,2024-09-28T15.42.06.221,0.270,35.122,-11.220,63.720
1727527326231,2024-09-28T15.42.06.231,0.280,36.280,-19.695,43.720
1727527326241,2024-09-28T15.42.06.241,0.290,35.793,-23.963,24.695
1727527326251,2024-09-28T15.42.06.251,0.300,32.500,-22.927,8.659
1727527326261,2024-09-28T15.42.06.261,0.310,25.488,-15.244,-5.122
1727527326271,2024-09-28T15.42.06.271,0.320,16.037,-1.280,-17.927
1727527326281,2024-09-28T15.42.06.281,0.330,6.951,14.207,-29.512
1727527326291,2024-09-28T15.42.06.291,0.340,-1.098,23.415,-39.329
1727527326301,2024-09-28T15.42.06.301,0.350,-7.927,22.500,-49.085
1727527326311,2024-09-28T15.42.06.311,0.360,-12.805,15.183,-60.915
1727527326321,2024-09-28T15.42.06.321,0.370,-16.768,6.037,-71.159
1727527326331,2024-09-28T15.42.06.331,0.380,-19.817,-5.305,-78.476
1727527326341,2024-09-28T15.42.06.341,0.390,-20.183,-17.561,-88.902
1727527326351,2024-09-28T15.42.06.351,0.400,-19.634,-28.720,-100.000
1727527326361,2024-09-28T15.42.06.361,0.410,-20.061,-40.488,-106.098
1727527326371,2024-09-28T15.42.06.371,0.420,-22.317,-51.585,-113.232
1727527326381,2024-09-28T15.42.06.381,0.430,-27.866,-57.317,-122.500
1727527326391,2024-09-28T15.42.06.391,0.440,-36.585,-53.780,-130.488
1727527326401,2024-09-28T15.42.06.401,0.450,-46.037,-40.671,-137.256
1727527326411,2024-09-28T15.42.06.411,0.460,-55.793,-24.085,-141.707
1727527326421,2024-09-28T15.42.06.421,0.470,-63.963,-11.768,-144.817
1727527326431,2024-09-28T15.42.06.431,0.480,-68.110,-6.890,-148.720
1727527326441,2024-09-28T15.42.06.441,0.490,-69.085,-8.780,-151.829
1727527326451,2024-09-28T15.42.06.451,0.500,-68.232,-14.268,-153.171
1727527326461,2024-09-28T15.42.06.461,0.510,-65.244,-20.183,-154.207
1727527326471,2024-09-28T15.42.06.471,0.520,-61.890,-25.793,-154.939
1727527326481,2024-09-28T15.42.06.481,0.530,-59.024,-30.976,-157.256
1727527326491,2024-09-28T15.42.06.491,0.540,-56.829,-33.963,-161.098
1727527326501,2024-09-28T15.42.06.501,0.550,-56.829,-34.329,-164.756
1727527326511,2024-09-28T15.42.06.511,0.560,-59.512,-32.622,-168.598
1727527326521,2024-09-28T15.42.06.521,0.570,-64.390,-28.049,-171.402
1727527326531,2024-09-28T15.42.06.531,0.580,-69.939,-22.805,-172.927
1727527326541,2024-09-28T15.42.06.541,0.590,-73.963,-18.537,-176.646
1727527326551,2024-09-28T15.42.06.551,0.600,-76.829,-16.159,-181.280
1727527326561,2024-09-28T15.42.06.561,0.610,-78.780,-15.793,-183.232
1727527326571,2024-09-28T15.42.06.571,0.620,-78.537,-16.220,-182.744
1727527326581,2024-09-28T15.42.06.581,0.630,-75.610,-15.244,-181.585
1727527326591,2024-09-28T15.42.06.591,0.640,-70.915,-14.695,-181.220
1727527326601,2024-09-28T15.42.06.601,0.650,-66.829,-18.049,-181.707
1727527326611,2024-09-28T15.42.06.611,0.660,-63.598,-24.634,-184.451
1727527326621,2024-09-28T15.42.06.621,0.670,-62.500,-30.366,-188.841
1727527326631,2024-09-28T15.42.06.631,0.680,-63.780,-33.537,-193.354
1727527326641,2024-09-28T15.42.06.641,0.690,-67.561,-30.488,-197.500
1727527326651,2024-09-28T15.42.06.651,0.700,-73.171,-21.037,-199.329
1727527326661,2024-09-28T15.42.06.661,0.710,-76.707,-9.817,-199.268
1727527326671,2024-09-28T15.42.06.671,0.720,-75.549,0.610,-195.549
1727527326681,2024-09-28T15.42.06.681,0.730,-69.451,7.927,-188.293
1727527326691,2024-09-28T15.42.06.691,0.740,-60.610,7.561,-182.134
1727527326701,2024-09-28T15.42.06.701,0.750,-52.134,0.732,-178.963
1727527326711,2024-09-28T15.42.06.711,0.760,-45.244,-6.890,-175.793
1727527326721,2024-09-28T15.42.06.721,0.770,-40.854,-11.646,-170.183
1727527326731,2024-09-28T15.42.06.731,0.780,-38.659,-10.854,-162.073
1727527326741,2024-09-28T15.42.06.741,0.790,-36.951,-4.329,-151.646
1727527326751,2024-09-28T15.42.06.751,0.800,-33.902,6.159,-139.451
1727527326761,2024-09-28T15.42.06.761,0.810,-29.146,20.061,-127.683
1727527326771,2024-09-28T15.42.06.771,0.820,-22.317,31.402,-114.451
1727527326781,2024-09-28T15.42.06.781,0.830,-14.512,35.000,-100.366
1727527326791,2024-09-28T15.42.06.791,0.840,-7.500,28.598,-86.463
1727527326801,2024-09-28T15.42.06.801,0.850,-1.037,15.244,-71.524
1727527326811,2024-09-28T15.42.06.811,0.860,4.817,-0.854,-56.646
1727527326821,2024-09-28T15.42.06.821,0.870,10.183,-14.207,-43.354
1727527326831,2024-09-28T15.42.06.831,0.880,14.268,-17.805,-31.768
1727527326841,2024-09-28T15.42.06.841,0.890,15.610,-9.329,-20.183
1727527326851,2024-09-28T15.42.06.851,0.900,13.476,4.207,-7.866
1727527326861,2024-09-28T15.42.06.861,0.910,9.146,14.085,3.780
1727527326871,2024-09-28T15.42.06.871,0.920,4.756,17.439,14.207
1727527326881,2024-09-28T15.42.06.881,0.930,1.524,15.244,23.659
1727527326891,2024-09-28T15.42.06.891,0.940,-0.061,8.902,31.768
1727527326901,2024-09-28T15.42.06.901,0.950,-0.305,0.122,38.354
1727527326911,2024-09-28T15.42.06.911,0.960,0.915,-8.963,45.854
1727527326921,2024-09-28T15.42.06.921,0.970,3.293,-18.110,52.927
1727527326931,2024-09-28T15.42.06.931,0.980,6.463,-26.341,58.720
1727527326941,2024-09-28T15.42.06.941,0.990,9.573,-32.927,65.549
1727527326951,2024-09-28T15.42.06.951,1.000,11.707,-33.841,72.683
1727527326961,2024-09-28T15.42.06.961,1.010,12.500,-27.195,80.061
1727527326971,2024-09-28T15.42.06.971,1.020,11.646,-16.768,88.537
1727527326981,2024-09-28T15.42.06.981,1.030,10.915,-7.012,95.976
1727527326991,2024-09-28T15.42.06.991,1.040,11.585,1.341,102.866
1727527327001,2024-09-28T15.42.07.001,1.050,12.744,6.037,112.622
1727527327011,2024-09-28T15.42.07.011,1.060,14.878,6.890,121.280
1727527327021,2024-09-28T15.42.07.021,1.070,17.622,7.073,128.049
1727527327031,2024-09-28T15.42.07.031,1.080,20.610,7.622,136.768
1727527327041,2024-09-28T15.42.07.041,1.090,23.476,8.110,145.366
1727527327051,2024-09-28T15.42.07.051,1.100,26.159,7.622,152.195
1727527327061,2024-09-28T15.42.07.061,1.110,28.841,5.915,158.232
1727527327071,2024-09-28T15.42.07.071,1.120,31.341,3.537,163.537
1727527327081,2024-09-28T15.42.07.081,1.130,33.902,3.963,167.378
1727527327091,2024-09-28T15.42.07.091,1.140,36.463,8.902,171.524
1727527327101,2024-09-28T15.42.07.101,1.150,38.598,15.671,175.976
1727527327111,2024-09-28T15.42.07.111,1.160,40.610,21.159,178.537
1727527327121,2024-09-28T15.42.07.121,1.170,42.195,22.622,178.293
1727527327131,2024-09-28T15.42.07.131,1.180,42.195,18.354,174.939
1727527327141,2024-09-28T15.42.07.141,1.190,41.341,8.354,167.439
1727527327151,2024-09-28T15.42.07.151,1.200,40.183,-4.573,158.171
1727527327161,2024-09-28T15.42.07.161,1.210,39.329,-16.890,150.305
1727527327171,2024-09-28T15.42.07.171,1.220,40.000,-24.756,144.268
1727527327181,2024-09-28T15.42.07.181,1.230,41.707,-24.573,141.707
1727527327191,2024-09-28T15.42.07.191,1.240,44.817,-17.378,141.524
1727527327201,2024-09-28T15.42.07.201,1.250,49.268,-8.110,142.012
1727527327211,2024-09-28T15.42.07.211,1.260,53.902,-0.366,143.841
1727527327221,2024-09-28T15.42.07.221,1.270,57.195,5.183,147.805
1727527327231,2024-09-28T15.42.07.231,1.280,58.171,8.780,153.659
1727527327241,2024-09-28T15.42.07.241,1.290,57.805,12.073,159.878
1727527327251,2024-09-28T15.42.07.251,1.300,58.476,15.976,164.512
1727527327261,2024-09-28T15.42.07.261,1.310,60.671,18.780,167.439
1727527327271,2024-09-28T15.42.07.271,1.320,62.683,21.646,167.561
1727527327281,2024-09-28T15.42.07.281,1.330,62.744,27.256,165.976
1727527327291,2024-09-28T15.42.07.291,1.340,61.524,33.354,164.695
1727527327301,2024-09-28T15.42.07.301,1.350,60.488,37.561,161.341
1727527327311,2024-09-28T15.42.07.311,1.360,60.976,39.268,157.439
1727527327321,2024-09-28T15.42.07.321,1.370,62.500,36.707,154.634
1727527327331,2024-09-28T15.42.07.331,1.380,64.268,30.427,150.549
1727527327341,2024-09-28T15.42.07.341,1.390,64.817,23.598,144.512
1727527327351,2024-09-28T15.42.07.351,1.400,62.195,17.988,136.220
1727527327361,2024-09-28T15.42.07.361,1.410,58.232,13.841,126.220
1727527327371,2024-09-28T15.42.07.371,1.420,54.573,10.427,115.793
1727527327381,2024-09-28T15.42.07.381,1.430,52.317,7.927,106.341
1727527327391,2024-09-28T15.42.07.391,1.440,51.098,8.171,97.927
1727527327401,2024-09-28T15.42.07.401,1.450,51.037,10.915,90.488
1727527327411,2024-09-28T15.42.07.411,1.460,51.646,10.061,82.805
1727527327421,2024-09-28T15.42.07.421,1.470,51.220,2.439,71.951
1727527327431,2024-09-28T15.42.07.431,1.480,48.354,-10.122,58.841
1727527327441,2024-09-28T15.42.07.441,1.490,41.463,-23.415,46.463
1727527327451,2024-09-28T15.42.07.451,1.500,31.280,-32.744,35.183
1727527327461,2024-09-28T15.42.07.461,1.510,20.732,-33.841,24.512
1727527327471,2024-09-28T15.42.07.471,1.520,11.829,-25.610,15.183
1727527327481,2024-09-28T15.42.07.481,1.530,4.573,-11.890,5.000
1727527327491,2024-09-28T15.42.07.491,1.540,-1.585,0.488,-7.195
1727527327501,2024-09-28T15.42.07.501,1.550,-6.768,6.768,-18.049
1727527327511,2024-09-28T15.42.07.511,1.560,-10.549,5.488,-27.561
1727527327521,2024-09-28T15.42.07.521,1.570,-13.598,-1.037,-37.622
1727527327531,2024-09-28T15.42.07.531,1.580,-17.134,-9.024,-47.500
1727527327541,2024-09-28T15.42.07.541,1.590,-21.037,-16.402,-56.402
1727527327551,2024-09-28T15.42.07.551,1.600,-24.451,-22.195,-65.305
1727527327561,2024-09-28T15.42.07.561,1.610,-26.707,-24.756,-74.451
1727527327571,2024-09-28T15.42.07.571,1.620,-29.146,-21.159,-82.317
1727527327581,2024-09-28T15.42.07.581,1.630,-32.012,-12.073,-87.439
