epoc (ms),timestamp (+0300),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1727527354930,2024-09-28T15.42.34.930,0.000,0.369,0.219,0.835
1727527354940,2024-09-28T15.42.34.940,0.010,0.372,0.205,0.838
1727527354950,2024-09-28T15.42.34.950,0.020,0.344,0.186,0.831
1727527354960,2024-09-28T15.42.34.960,0.030,0.327,0.185,0.825
1727527354970,2024-09-28T15.42.34.970,0.040,0.284,0.186,0.837
1727527354980,2024-09-28T15.42.34.980,0.050,0.174,0.181,0.866
1727527354990,2024-09-28T15.42.34.990,0.060,0.146,0.192,0.891
1727527355000,2024-09-28T15.42.35.000,0.070,0.273,0.215,0.942
1727527355010,2024-09-28T15.42.35.010,0.080,0.294,0.213,0.995
1727527355020,2024-09-28T15.42.35.020,0.090,0.200,0.193,1.005
1727527355030,2024-09-28T15.42.35.030,0.100,0.173,0.190,1.003
1727527355040,2024-09-28T15.42.35.040,0.110,0.188,0.182,0.995
1727527355050,2024-09-28T15.42.35.050,0.120,0.228,0.173,0.985
1727527355060,2024-09-28T15.42.35.060,0.130,0.244,0.161,0.981
1727527355070,2024-09-28T15.42.35.070,0.140,0.256,0.148,0.965
1727527355080,2024-09-28T15.42.35.080,0.150,0.283,0.150,0.939
1727527355090,2024-09-28T15.42.35.090,0.160,0.331,0.162,0.896
1727527355100,2024-09-28T15.42.35.100,0.170,0.383,0.166,0.865
1727527355110,2024-09-28T15.42.35.110,0.180,0.428,0.163,0.842
1727527355120,2024-09-28T15.42.35.120,0.190,0.449,0.165,0.833
1727527355130,2024-09-28T15.42.35.130,0.200,0.426,0.165,0.837
1727527355140,2024-09-28T15.42.35.140,0.210,0.428,0.166,0.844
1727527355150,2024-09-28T15.42.35.150,0.220,0.389,0.153,0.847
1727527355160,2024-09-28T15.42.35.160,0.230,0.352,0.145,0.839
1727527355170,2024-09-28T15.42.35.170,0.240,0.331,0.137,0.812
1727527355180,2024-09-28T15.42.35.180,0.250,0.379,0.124,0.781
1727527355190,2024-09-28T15.42.35.190,0.260,0.467,0.126,0.767
1727527355200,2024-09-28T15.42.35.200,0.270,0.502,0.134,0.776
1727527355210,2024-09-28T15.42.35.210,0.280,0.522,0.149,0.788
1727527355220,2024-09-28T15.42.35.220,0.290,0.561,0.177,0.792
1727527355230,2024-09-28T15.42.35.230,0.300,0.613,0.211,0.800
1727527355240,2024-09-28T15.42.35.240,0.310,0.679,0.221,0.826
1727527355250,2024-09-28T15.42.35.250,0.320,0.754,0.205,0.856
1727527355260,2024-09-28T15.42.35.260,0.330,0.791,0.184,0.848
1727527355270,2024-09-28T15.42.35.270,0.340,0.814,0.162,0.831
1727527355280,2024-09-28T15.42.35.280,0.350,0.852,0.141,0.836
1727527355290,2024-09-28T15.42.35.290,0.360,0.855,0.124,0.854
1727527355300,2024-09-28T15.42.35.300,0.370,0.825,0.119,0.870
1727527355310,2024-09-28T15.42.35.310,0.380,0.827,0.116,0.878
1727527355320,2024-09-28T15.42.35.320,0.390,0.833,0.107,0.884
1727527355330,2024-09-28T15.42.35.330,0.400,0.836,0.082,0.884
1727527355340,2024-09-28T15.42.35.340,0.410,0.799,0.053,0.878
1727527355350,2024-09-28T15.42.35.350,0.420,0.780,0.035,0.866
1727527355360,2024-09-28T15.42.35.360,0.430,0.810,0.007,0.868
1727527355370,2024-09-28T15.42.35.370,0.440,0.837,-0.011,0.870
1727527355380,2024-09-28T15.42.35.380,0.450,0.813,-0.022,0.877
1727527355390,2024-09-28T15.42.35.390,0.460,0.785,-0.034,0.887
1727527355400,2024-09-28T15.42.35.400,0.470,0.796,-0.035,0.895
1727527355410,2024-09-28T15.42.35.410,0.480,0.807,-0.028,0.891
1727527355420,2024-09-28T15.42.35.420,0.490,0.803,-0.026,0.896
1727527355430,2024-09-28T15.42.35.430,0.500,0.771,-0.031,0.912
1727527355440,2024-09-28T15.42.35.440,0.510,0.744,-0.029,0.921
1727527355450,2024-09-28T15.42.35.450,0.520,0.743,-0.022,0.929
1727527355460,2024-09-28T15.42.35.460,0.530,0.753,-0.002,0.936
1727527355470,2024-09-28T15.42.35.470,0.540,0.744,0.029,0.923
1727527355480,2024-09-28T15.42.35.480,0.550,0.755,0.052,0.905
1727527355490,2024-09-28T15.42.35.490,0.560,0.774,0.066,0.901
1727527355500,2024-09-28T15.42.35.500,0.570,0.759,0.073,0.891
1727527355510,2024-09-28T15.42.35.510,0.580,0.758,0.080,0.881
1727527355520,2024-09-28T15.42.35.520,0.590,0.725,0.076,0.890
1727527355530,2024-09-28T15.42.35.530,0.600,0.658,0.074,0.897
1727527355540,2024-09-28T15.42.35.540,0.610,0.619,0.082,0.903
1727527355550,2024-09-28T15.42.35.550,0.620,0.548,0.080,0.912
1727527355560,2024-09-28T15.42.35.560,0.630,0.465,0.073,0.922
1727527355570,2024-09-28T15.42.35.570,0.640,0.427,0.060,0.941
1727527355580,2024-09-28T15.42.35.580,0.650,0.383,0.041,0.948
1727527355590,2024-09-28T15.42.35.590,0.660,0.355,0.029,0.943
1727527355600,2024-09-28T15.42.35.600,0.670,0.393,0.022,0.933
1727527355610,2024-09-28T15.42.35.610,0.680,0.429,0.019,0.911
1727527355620,2024-09-28T15.42.35.620,0.690,0.462,0.033,0.878
1727527355630,2024-09-28T15.42.35.630,0.700,0.588,0.071,0.837
1727527355640,2024-09-28T15.42.35.640,0.710,0.740,0.109,0.810
1727527355650,2024-09-28T15.42.35.650,0.720,0.727,0.120,0.820
1727527355660,2024-09-28T15.42.35.660,0.730,0.611,0.112,0.820
1727527355670,2024-09-28T15.42.35.670,0.740,0.706,0.142,0.800
1727527355680,2024-09-28T15.42.35.680,0.750,0.847,0.185,0.787
1727527355690,2024-09-28T15.42.35.690,0.760,0.811,0.205,0.771
1727527355700,2024-09-28T15.42.35.700,0.770,0.715,0.208,0.766
1727527355710,2024-09-28T15.42.35.710,0.780,0.646,0.196,0.781
1727527355720,2024-09-28T15.42.35.720,0.790,0.589,0.192,0.785
1727527355730,2024-09-28T15.42.35.730,0.800,0.548,0.200,0.772
1727527355740,2024-09-28T15.42.35.740,0.810,0.526,0.199,0.769
1727527355750,2024-09-28T15.42.35.750,0.820,0.522,0.195,0.776
1727527355760,2024-09-28T15.42.35.760,0.830,0.499,0.198,0.777
1727527355770,2024-09-28T15.42.35.770,0.840,0.481,0.205,0.769
1727527355780,2024-09-28T15.42.35.780,0.850,0.483,0.202,0.772
1727527355790,2024-09-28T15.42.35.790,0.860,0.472,0.196,0.775
1727527355800,2024-09-28T15.42.35.800,0.870,0.440,0.193,0.770
1727527355810,2024-09-28T15.42.35.810,0.880,0.430,0.185,0.788
1727527355820,2024-09-28T15.42.35.820,0.890,0.416,0.177,0.813
1727527355830,2024-09-28T15.42.35.830,0.900,0.392,0.169,0.827
1727527355840,2024-09-28T15.42.35.840,0.910,0.367,0.167,0.825
1727527355850,2024-09-28T15.42.35.850,0.920,0.317,0.165,0.814
1727527355860,2024-09-28T15.42.35.860,0.930,0.276,0.160,0.804
