epoc (ms);timestamp (+0300);elapsed (s);acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z
1,72753E+12;2024-09-28T15.42.34.930;0.000;0.369;0.219;0.835;-76.829;31.524;-150.000
1,72753E+12;2024-09-28T15.42.34.940;0.010;0.372;0.205;0.838;-76.463;33.659;-148.598
1,72753E+12;2024-09-28T15.42.34.950;0.020;0.344;0.186;0.831;-73.354;40.122;-143.415
1,72753E+12;2024-09-28T15.42.34.960;0.030;0.327;0.185;0.825;-69.268;39.512;-140.671
1,72753E+12;2024-09-28T15.42.34.970;0.040;0.284;0.186;0.837;-65.488;29.695;-142.256
1,72753E+12;2024-09-28T15.42.34.980;0.050;0.174;0.181;0.866;-64.390;18.110;-142.866
1,72753E+12;2024-09-28T15.42.34.990;0.060;0.146;0.192;0.891;-65.732;11.280;-143.110
1,72753E+12;2024-09-28T15.42.35.000;0.070;0.273;0.215;0.942;-67.988;10.793;-150.000
1,72753E+12;2024-09-28T15.42.35.010;0.080;0.294;0.213;0.995;-71.463;11.341;-163.293
1,72753E+12;2024-09-28T15.42.35.020;0.090;0.200;0.193;1.005;-75.183;8.659;-173.720
1,72753E+12;2024-09-28T15.42.35.030;0.100;0.173;0.190;1.003;-77.866;2.927;-179.268
1,72753E+12;2024-09-28T15.42.35.040;0.110;0.188;0.182;0.995;-79.024;-4.817;-183.293
1,72753E+12;2024-09-28T15.42.35.050;0.120;0.228;0.173;0.985;-78.049;-14.756;-188.598
1,72753E+12;2024-09-28T15.42.35.060;0.130;0.244;0.161;0.981;-75.183;-24.878;-193.415
1,72753E+12;2024-09-28T15.42.35.070;0.140;0.256;0.148;0.965;-70.976;-34.756;-198.049
1,72753E+12;2024-09-28T15.42.35.080;0.150;0.283;0.150;0.939;-67.500;-42.195;-203.232
1,72753E+12;2024-09-28T15.42.35.090;0.160;0.331;0.162;0.896;-65.793;-44.085;-207.073
1,72753E+12;2024-09-28T15.42.35.100;0.170;0.383;0.166;0.865;-64.939;-38.598;-208.537
1,72753E+12;2024-09-28T15.42.35.110;0.180;0.428;0.163;0.842;-62.927;-27.683;-206.037
1,72753E+12;2024-09-28T15.42.35.120;0.190;0.449;0.165;0.833;-59.939;-16.037;-200.915
1,72753E+12;2024-09-28T15.42.35.130;0.200;0.426;0.165;0.837;-56.098;-9.390;-195.000
1,72753E+12;2024-09-28T15.42.35.140;0.210;0.428;0.166;0.844;-50.183;-8.049;-191.463
1,72753E+12;2024-09-28T15.42.35.150;0.220;0.389;0.153;0.847;-44.329;-9.146;-189.207
1,72753E+12;2024-09-28T15.42.35.160;0.230;0.352;0.145;0.839;-38.841;-12.134;-187.134
1,72753E+12;2024-09-28T15.42.35.170;0.240;0.331;0.137;0.812;-34.390;-13.293;-184.634
1,72753E+12;2024-09-28T15.42.35.180;0.250;0.379;0.124;0.781;-30.671;-9.085;-179.878
