epoc (ms);timestamp (+0300);elapsed (s);acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z
1,73E+12;2024-09-28T15.05.39.081;0.000;0.551;0.391;1.621;-197.134;-16.829;60.244
1,73E+12;2024-09-28T15.05.39.091;0.010;0.566;0.459;1.540;-203.171;-16.220;63.598
1,73E+12;2024-09-28T15.05.39.101;0.020;0.607;0.506;1.398;-233.415;-16.098;79.207
1,73E+12;2024-09-28T15.05.39.111;0.030;0.711;0.458;1.344;-266.585;-20.244;90.854
1,73E+12;2024-09-28T15.05.39.121;0.040;0.713;0.336;1.362;-287.317;-25.976;86.463
1,73E+12;2024-09-28T15.05.39.131;0.050;0.587;0.192;1.362;-296.098;-31.402;83.537
1,73E+12;2024-09-28T15.05.39.141;0.060;0.491;0.082;1.306;-295.122;-36.037;88.659
1,73E+12;2024-09-28T15.05.39.151;0.070;0.464;0.040;1.214;-290.427;-35.976;93.293
1,73E+12;2024-09-28T15.05.39.161;0.080;0.461;0.011;1.056;-287.195;-34.146;95.244
1,73E+12;2024-09-28T15.05.39.171;0.090;0.437;0.008;0.893;-285.671;-32.073;96.524
1,73E+12;2024-09-28T15.05.39.181;0.100;0.432;-0.003;0.780;-283.902;-26.463;99.329
1,73E+12;2024-09-28T15.05.39.191;0.110;0.477;-0.019;0.703;-280.000;-13.963;100.793
1,73E+12;2024-09-28T15.05.39.201;0.120;0.508;-0.052;0.659;-274.573;7.866;102.439
1,73E+12;2024-09-28T15.05.39.211;0.130;0.484;-0.101;0.603;-269.695;28.537;106.402
1,73E+12;2024-09-28T15.05.39.221;0.140;0.382;-0.107;0.479;-268.354;45.549;111.768
1,73E+12;2024-09-28T15.05.39.231;0.150;0.313;-0.140;0.378;-267.866;56.159;120.549
1,73E+12;2024-09-28T15.05.39.241;0.160;0.336;-0.197;0.338;-265.427;60.122;123.110
1,73E+12;2024-09-28T15.05.39.251;0.170;0.312;-0.273;0.303;-259.756;59.817;118.415
1,73E+12;2024-09-28T15.05.39.261;0.180;0.234;-0.363;0.304;-250.671;53.415;113.841
1,73E+12;2024-09-28T15.05.39.271;0.190;0.162;-0.438;0.338;-239.390;45.061;110.488
1,73E+12;2024-09-28T15.05.39.281;0.200;0.127;-0.486;0.343;-225.610;37.744;107.561
1,73E+12;2024-09-28T15.05.39.291;0.210;0.138;-0.512;0.314;-211.768;32.805;103.476
1,73E+12;2024-09-28T15.05.39.301;0.220;0.168;-0.521;0.290;-199.878;31.280;97.683
1,73E+12;2024-09-28T15.05.39.311;0.230;0.157;-0.542;0.238;-190.366;31.280;94.390
1,73E+12;2024-09-28T15.05.39.321;0.240;0.099;-0.558;0.176;-182.927;28.780;93.537
1,73E+12;2024-09-28T15.05.39.331;0.250;0.066;-0.566;0.122;-177.195;22.622;93.049
1,73E+12;2024-09-28T15.05.39.341;0.260;0.060;-0.591;0.076;-172.378;17.012;92.256
1,73E+12;2024-09-28T15.05.39.351;0.270;0.062;-0.625;0.053;-167.805;16.098;90.732
1,73E+12;2024-09-28T15.05.39.361;0.280;0.049;-0.647;0.086;-163.171;21.280;90.732
1,73E+12;2024-09-28T15.05.39.371;0.290;0.052;-0.667;0.098;-157.073;23.963;91.951
1,73E+12;2024-09-28T15.05.39.381;0.300;0.054;-0.678;0.052;-148.963;23.476;88.598
1,73E+12;2024-09-28T15.05.39.391;0.310;0.045;-0.700;0.021;-140.671;21.402;82.073
1,73E+12;2024-09-28T15.05.39.401;0.320;0.020;-0.727;-0.003;-131.220;17.073;75.244
