epoc (ms),timestamp (+0300),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1727525071131,2024-09-28T15.04.31.131,0.000,0.258,-0.444,0.053
1727525071141,2024-09-28T15.04.31.141,0.010,0.189,-0.488,-0.009
1727525071151,2024-09-28T15.04.31.151,0.020,0.130,-0.539,-0.032
1727525071161,2024-09-28T15.04.31.161,0.030,0.126,-0.590,-0.026
1727525071171,2024-09-28T15.04.31.171,0.040,0.150,-0.638,-0.039
1727525071181,2024-09-28T15.04.31.181,0.050,0.204,-0.664,-0.111
1727525071191,2024-09-28T15.04.31.191,0.060,0.269,-0.666,-0.186
1727525071201,2024-09-28T15.04.31.201,0.070,0.272,-0.677,-0.233
1727525071211,2024-09-28T15.04.31.211,0.080,0.193,-0.698,-0.281
1727525071221,2024-09-28T15.04.31.221,0.090,0.063,-0.712,-0.323
1727525071231,2024-09-28T15.04.31.231,0.100,-0.023,-0.739,-0.335
1727525071241,2024-09-28T15.04.31.241,0.110,-0.045,-0.758,-0.299
1727525071251,2024-09-28T15.04.31.251,0.120,-0.038,-0.767,-0.264
1727525071261,2024-09-28T15.04.31.261,0.130,0.007,-0.766,-0.243
1727525071271,2024-09-28T15.04.31.271,0.140,0.063,-0.733,-0.226
1727525071281,2024-09-28T15.04.31.281,0.150,0.104,-0.689,-0.198
1727525071291,2024-09-28T15.04.31.291,0.160,0.137,-0.654,-0.155
1727525071301,2024-09-28T15.04.31.301,0.170,0.176,-0.630,-0.087
1727525071311,2024-09-28T15.04.31.311,0.180,0.187,-0.626,0.008
1727525071321,2024-09-28T15.04.31.321,0.190,0.146,-0.625,0.079
1727525071331,2024-09-28T15.04.31.331,0.200,0.086,-0.602,0.137
1727525071341,2024-09-28T15.04.31.341,0.210,0.061,-0.566,0.182
1727525071351,2024-09-28T15.04.31.351,0.220,0.074,-0.541,0.210
1727525071361,2024-09-28T15.04.31.361,0.230,0.090,-0.505,0.238
1727525071371,2024-09-28T15.04.31.371,0.240,0.077,-0.454,0.300
1727525071381,2024-09-28T15.04.31.381,0.250,0.091,-0.396,0.397
1727525071391,2024-09-28T15.04.31.391,0.260,0.154,-0.336,0.496
1727525071401,2024-09-28T15.04.31.401,0.270,0.232,-0.281,0.587
1727525071411,2024-09-28T15.04.31.411,0.280,0.263,-0.238,0.671
1727525071421,2024-09-28T15.04.31.421,0.290,0.210,-0.203,0.771
1727525071431,2024-09-28T15.04.31.431,0.300,0.086,-0.160,0.916
1727525071441,2024-09-28T15.04.31.441,0.310,-0.092,-0.161,1.016
1727525071451,2024-09-28T15.04.31.451,0.320,-0.257,-0.150,0.986
1727525071461,2024-09-28T15.04.31.461,0.330,-0.412,-0.088,0.844
1727525071471,2024-09-28T15.04.31.471,0.340,-0.513,-0.008,0.730
1727525071481,2024-09-28T15.04.31.481,0.350,-0.314,0.093,0.778
1727525071491,2024-09-28T15.04.31.491,0.360,0.126,0.159,0.925
1727525071501,2024-09-28T15.04.31.501,0.370,0.580,0.213,1.157
1727525071511,2024-09-28T15.04.31.511,0.380,0.878,0.213,1.339
1727525071521,2024-09-28T15.04.31.521,0.390,0.901,0.203,1.374
1727525071531,2024-09-28T15.04.31.531,0.400,0.625,0.206,1.271
1727525071541,2024-09-28T15.04.31.541,0.410,0.228,0.187,1.190
1727525071551,2024-09-28T15.04.31.551,0.420,-0.057,0.161,1.143
1727525071561,2024-09-28T15.04.31.561,0.430,-0.127,0.186,1.149
1727525071571,2024-09-28T15.04.31.571,0.440,-0.057,0.215,1.190
1727525071581,2024-09-28T15.04.31.581,0.450,0.058,0.254,1.228
1727525071591,2024-09-28T15.04.31.591,0.460,0.109,0.289,1.231
1727525071601,2024-09-28T15.04.31.601,0.470,0.093,0.316,1.211
1727525071611,2024-09-28T15.04.31.611,0.480,0.024,0.343,1.203
1727525071621,2024-09-28T15.04.31.621,0.490,-0.040,0.352,1.206
1727525071631,2024-09-28T15.04.31.631,0.500,-0.078,0.369,1.257
1727525071641,2024-09-28T15.04.31.641,0.510,-0.119,0.407,1.326
1727525071651,2024-09-28T15.04.31.651,0.520,-0.089,0.442,1.365
1727525071661,2024-09-28T15.04.31.661,0.530,0.015,0.474,1.375
1727525071671,2024-09-28T15.04.31.671,0.540,0.141,0.501,1.397
1727525071681,2024-09-28T15.04.31.681,0.550,0.215,0.514,1.438
1727525071691,2024-09-28T15.04.31.691,0.560,0.215,0.516,1.467
1727525071701,2024-09-28T15.04.31.701,0.570,0.169,0.530,1.509
1727525071711,2024-09-28T15.04.31.711,0.580,0.079,0.545,1.551
1727525071721,2024-09-28T15.04.31.721,0.590,-0.044,0.551,1.566
1727525071731,2024-09-28T15.04.31.731,0.600,-0.179,0.555,1.555
1727525071741,2024-09-28T15.04.31.741,0.610,-0.257,0.563,1.533
1727525071751,2024-09-28T15.04.31.751,0.620,-0.255,0.556,1.516
1727525071761,2024-09-28T15.04.31.761,0.630,-0.224,0.542,1.496
1727525071771,2024-09-28T15.04.31.771,0.640,-0.172,0.525,1.488
1727525071781,2024-09-28T15.04.31.781,0.650,-0.109,0.512,1.492
1727525071791,2024-09-28T15.04.31.791,0.660,-0.041,0.518,1.506
1727525071801,2024-09-28T15.04.31.801,0.670,0.013,0.526,1.521
1727525071811,2024-09-28T15.04.31.811,0.680,0.007,0.533,1.509
