epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1727525207452,2024-09-28T15.06.47.452,0.000,-135.183,-59.878,26.159
1727525207462,2024-09-28T15.06.47.462,0.010,-137.561,-62.744,27.927
1727525207472,2024-09-28T15.06.47.472,0.020,-146.524,-76.159,35.915
1727525207482,2024-09-28T15.06.47.482,0.030,-156.159,-87.622,45.061
1727525207492,2024-09-28T15.06.47.492,0.040,-164.878,-88.354,54.756
1727525207502,2024-09-28T15.06.47.502,0.050,-174.573,-78.415,67.683
1727525207512,2024-09-28T15.06.47.512,0.060,-184.207,-61.220,80.549
1727525207522,2024-09-28T15.06.47.522,0.070,-192.927,-40.305,87.134
1727525207532,2024-09-28T15.06.47.532,0.080,-200.793,-18.659,89.451
1727525207542,2024-09-28T15.06.47.542,0.090,-206.402,-3.354,91.098
1727525207552,2024-09-28T15.06.47.552,0.100,-209.085,0.366,90.366
1727525207562,2024-09-28T15.06.47.562,0.110,-209.939,-8.232,88.171
1727525207572,2024-09-28T15.06.47.572,0.120,-210.732,-24.085,86.220
1727525207582,2024-09-28T15.06.47.582,0.130,-211.220,-38.171,86.585
1727525207592,2024-09-28T15.06.47.592,0.140,-211.829,-38.476,89.878
1727525207602,2024-09-28T15.06.47.602,0.150,-212.317,-21.159,93.110
1727525207612,2024-09-28T15.06.47.612,0.160,-211.951,9.329,93.232
1727525207622,2024-09-28T15.06.47.622,0.170,-212.073,44.939,91.951
1727525207632,2024-09-28T15.06.47.632,0.180,-211.524,73.598,93.476
1727525207642,2024-09-28T15.06.47.642,0.190,-207.012,76.646,94.390
1727525207652,2024-09-28T15.06.47.652,0.200,-200.793,55.366,90.183
1727525207662,2024-09-28T15.06.47.662,0.210,-192.439,26.159,83.780
1727525207672,2024-09-28T15.06.47.672,0.220,-181.524,1.037,81.524
1727525207682,2024-09-28T15.06.47.682,0.230,-170.122,-14.146,82.378
1727525207692,2024-09-28T15.06.47.692,0.240,-161.220,-17.195,84.329
1727525207702,2024-09-28T15.06.47.702,0.250,-158.659,-2.683,87.134
1727525207712,2024-09-28T15.06.47.712,0.260,-161.098,23.902,89.512
1727525207722,2024-09-28T15.06.47.722,0.270,-165.610,51.463,89.573
1727525207732,2024-09-28T15.06.47.732,0.280,-168.232,69.146,86.098
1727525207742,2024-09-28T15.06.47.742,0.290,-166.159,73.598,77.195
1727525207752,2024-09-28T15.06.47.752,0.300,-158.232,69.085,66.768
1727525207762,2024-09-28T15.06.47.762,0.310,-144.573,56.768,59.695
1727525207772,2024-09-28T15.06.47.772,0.320,-125.183,42.744,53.537
1727525207782,2024-09-28T15.06.47.782,0.330,-103.171,30.976,48.476
1727525207792,2024-09-28T15.06.47.792,0.340,-82.256,23.537,45.488
1727525207802,2024-09-28T15.06.47.802,0.350,-63.780,20.183,41.098
1727525207812,2024-09-28T15.06.47.812,0.360,-50.122,19.268,30.427
1727525207822,2024-09-28T15.06.47.822,0.370,-40.732,17.073,18.720
1727525207832,2024-09-28T15.06.47.832,0.380,-33.415,11.159,11.280
1727525207842,2024-09-28T15.06.47.842,0.390,-25.549,0.366,8.049
1727525207852,2024-09-28T15.06.47.852,0.400,-14.878,-11.890,4.634
1727525207862,2024-09-28T15.06.47.862,0.410,0.183,-20.915,-1.585
1727525207872,2024-09-28T15.06.47.872,0.420,18.963,-23.110,-10.610
1727525207882,2024-09-28T15.06.47.882,0.430,38.537,-19.878,-18.476
1727525207892,2024-09-28T15.06.47.892,0.440,56.707,-13.049,-25.244
1727525207902,2024-09-28T15.06.47.902,0.450,73.049,-3.841,-32.988
1727525207912,2024-09-28T15.06.47.912,0.460,87.195,6.707,-42.500
1727525207922,2024-09-28T15.06.47.922,0.470,97.561,14.939,-52.927
1727525207932,2024-09-28T15.06.47.932,0.480,103.415,17.439,-63.232
1727525207942,2024-09-28T15.06.47.942,0.490,104.085,14.695,-70.915
1727525207952,2024-09-28T15.06.47.952,0.500,100.366,9.817,-73.780
1727525207962,2024-09-28T15.06.47.962,0.510,94.878,2.256,-71.890
1727525207972,2024-09-28T15.06.47.972,0.520,91.646,-8.354,-68.963
1727525207982,2024-09-28T15.06.47.982,0.530,91.341,-17.012,-68.720
1727525207992,2024-09-28T15.06.47.992,0.540,96.341,-21.585,-72.256
1727525208002,2024-09-28T15.06.48.002,0.550,109.329,-20.061,-77.744
1727525208012,2024-09-28T15.06.48.012,0.560,128.110,-9.817,-84.207
1727525208022,2024-09-28T15.06.48.022,0.570,151.890,5.366,-90.610
1727525208032,2024-09-28T15.06.48.032,0.580,176.402,15.061,-98.232
1727525208042,2024-09-28T15.06.48.042,0.590,191.768,12.683,-108.049
1727525208052,2024-09-28T15.06.48.052,0.600,187.195,2.805,-110.793
1727525208062,2024-09-28T15.06.48.062,0.610,162.744,-14.268,-100.793
1727525208072,2024-09-28T15.06.48.072,0.620,128.171,-37.317,-87.134
1727525208082,2024-09-28T15.06.48.082,0.630,103.171,-57.561,-82.012
1727525208092,2024-09-28T15.06.48.092,0.640,104.207,-60.915,-88.902
1727525208102,2024-09-28T15.06.48.102,0.650,128.354,-43.171,-96.829
1727525208112,2024-09-28T15.06.48.112,0.660,163.476,-5.183,-102.317
1727525208122,2024-09-28T15.06.48.122,0.670,198.232,45.976,-109.512
1727525208132,2024-09-28T15.06.48.132,0.680,221.402,88.902,-119.268
1727525208142,2024-09-28T15.06.48.142,0.690,221.220,110.610,-120.427
1727525208152,2024-09-28T15.06.48.152,0.700,195.610,105.610,-97.744
1727525208162,2024-09-28T15.06.48.162,0.710,159.634,74.878,-58.598
1727525208172,2024-09-28T15.06.48.172,0.720,133.720,27.378,-37.134
1727525208182,2024-09-28T15.06.48.182,0.730,118.780,-7.927,-46.951
1727525208192,2024-09-28T15.06.48.192,0.740,115.183,-26.098,-61.829
1727525208202,2024-09-28T15.06.48.202,0.750,129.268,-27.683,-64.329
1727525208212,2024-09-28T15.06.48.212,0.760,156.829,-5.122,-62.622
1727525208222,2024-09-28T15.06.48.222,0.770,186.951,38.780,-67.012
1727525208232,2024-09-28T15.06.48.232,0.780,206.646,81.098,-72.561
1727525208242,2024-09-28T15.06.48.242,0.790,208.780,95.915,-68.659
1727525208252,2024-09-28T15.06.48.252,0.800,196.890,63.415,-52.134
1727525208262,2024-09-28T15.06.48.262,0.810,172.012,11.951,-28.232
1727525208272,2024-09-28T15.06.48.272,0.820,148.720,-32.378,-7.378
1727525208282,2024-09-28T15.06.48.282,0.830,134.329,-54.268,1.463
1727525208292,2024-09-28T15.06.48.292,0.840,126.159,-51.402,1.524
1727525208302,2024-09-28T15.06.48.302,0.850,121.159,-34.451,4.878
1727525208312,2024-09-28T15.06.48.312,0.860,117.134,-15.183,10.976
1727525208322,2024-09-28T15.06.48.322,0.870,113.232,-0.244,12.317
1727525208332,2024-09-28T15.06.48.332,0.880,109.756,6.585,8.902
1727525208342,2024-09-28T15.06.48.342,0.890,105.915,2.012,4.024
1727525208352,2024-09-28T15.06.48.352,0.900,97.195,-10.427,2.134
1727525208362,2024-09-28T15.06.48.362,0.910,81.524,-27.439,6.341
1727525208372,2024-09-28T15.06.48.372,0.920,58.720,-41.280,15.183
1727525208382,2024-09-28T15.06.48.382,0.930,32.683,-43.476,26.220
1727525208392,2024-09-28T15.06.48.392,0.940,12.134,-38.232,36.524
1727525208402,2024-09-28T15.06.48.402,0.950,-1.524,-34.390,35.305
1727525208412,2024-09-28T15.06.48.412,0.960,-12.683,-34.634,21.646
1727525208422,2024-09-28T15.06.48.422,0.970,-20.488,-45.915,12.134
1727525208432,2024-09-28T15.06.48.432,0.980,-25.488,-72.988,12.012
1727525208442,2024-09-28T15.06.48.442,0.990,-32.256,-112.195,11.646
1727525208452,2024-09-28T15.06.48.452,1.000,-41.463,-153.902,10.671
1727525208462,2024-09-28T15.06.48.462,1.010,-52.317,-187.256,13.537
