epoc (ms),timestamp (+0300),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1727530784925,2024-09-28T16.39.44.925,0.000,0.689,0.148,0.847
1727530784935,2024-09-28T16.39.44.935,0.010,0.738,0.155,0.835
1727530784945,2024-09-28T16.39.44.945,0.020,0.777,0.165,0.803
1727530784955,2024-09-28T16.39.44.955,0.030,0.821,0.170,0.775
1727530784965,2024-09-28T16.39.44.965,0.040,0.836,0.164,0.722
1727530784975,2024-09-28T16.39.44.975,0.050,0.790,0.141,0.646
1727530784985,2024-09-28T16.39.44.985,0.060,0.622,0.117,0.511
1727530784995,2024-09-28T16.39.44.995,0.070,0.355,0.098,0.356
1727530785005,2024-09-28T16.39.45.005,0.080,0.024,0.054,0.207
1727530785015,2024-09-28T16.39.45.015,0.090,-0.365,0.024,0.101
1727530785025,2024-09-28T16.39.45.025,0.100,-0.738,-0.000,0.025
1727530785035,2024-09-28T16.39.45.035,0.110,-1.078,-0.061,0.030
1727530785045,2024-09-28T16.39.45.045,0.120,-1.350,-0.102,0.072
1727530785055,2024-09-28T16.39.45.055,0.130,-1.510,-0.089,0.156
1727530785065,2024-09-28T16.39.45.065,0.140,-1.541,-0.050,0.260
1727530785075,2024-09-28T16.39.45.075,0.150,-1.416,-0.022,0.326
1727530785085,2024-09-28T16.39.45.085,0.160,-1.171,0.014,0.372
1727530785095,2024-09-28T16.39.45.095,0.170,-0.937,0.012,0.385
1727530785105,2024-09-28T16.39.45.105,0.180,-0.885,0.002,0.342
1727530785115,2024-09-28T16.39.45.115,0.190,-1.004,-0.013,0.291
1727530785125,2024-09-28T16.39.45.125,0.200,-1.167,-0.018,0.236
1727530785135,2024-09-28T16.39.45.135,0.210,-1.248,-0.020,0.179
1727530785145,2024-09-28T16.39.45.145,0.220,-1.229,0.001,0.143
1727530785155,2024-09-28T16.39.45.155,0.230,-1.170,0.042,0.115
1727530785165,2024-09-28T16.39.45.165,0.240,-1.080,0.069,0.120
1727530785175,2024-09-28T16.39.45.175,0.250,-0.972,0.069,0.141
1727530785185,2024-09-28T16.39.45.185,0.260,-0.944,0.052,0.157
1727530785195,2024-09-28T16.39.45.195,0.270,-0.992,0.030,0.167
1727530785205,2024-09-28T16.39.45.205,0.280,-1.044,-0.002,0.185
1727530785215,2024-09-28T16.39.45.215,0.290,-1.069,-0.003,0.210
1727530785225,2024-09-28T16.39.45.225,0.300,-1.053,-0.002,0.241
