epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1727530829056,2024-09-28T16.40.29.056,0.000,-3.476,-18.720,2.378
1727530829066,2024-09-28T16.40.29.066,0.010,-2.683,-23.171,1.585
1727530829076,2024-09-28T16.40.29.076,0.020,-0.915,-40.061,0.915
1727530829086,2024-09-28T16.40.29.086,0.030,2.378,-48.476,-0.061
1727530829096,2024-09-28T16.40.29.096,0.040,3.720,-41.341,-0.427
1727530829106,2024-09-28T16.40.29.106,0.050,3.110,-24.268,-1.037
1727530829116,2024-09-28T16.40.29.116,0.060,1.585,0.732,-2.561
1727530829126,2024-09-28T16.40.29.126,0.070,0.244,26.220,-3.232
1727530829136,2024-09-28T16.40.29.136,0.080,-1.280,45.915,-3.841
1727530829146,2024-09-28T16.40.29.146,0.090,-2.134,52.012,-2.927
1727530829156,2024-09-28T16.40.29.156,0.100,-1.524,37.805,-1.463
1727530829166,2024-09-28T16.40.29.166,0.110,1.098,7.439,-2.744
1727530829176,2024-09-28T16.40.29.176,0.120,4.512,-21.951,-4.695
1727530829186,2024-09-28T16.40.29.186,0.130,6.768,-33.232,-6.463
1727530829196,2024-09-28T16.40.29.196,0.140,8.841,-25.793,-7.073
1727530829206,2024-09-28T16.40.29.206,0.150,10.671,-8.232,-7.744
1727530829216,2024-09-28T16.40.29.216,0.160,9.573,11.951,-6.707
1727530829226,2024-09-28T16.40.29.226,0.170,7.439,30.549,-5.061
1727530829236,2024-09-28T16.40.29.236,0.180,5.122,42.012,-3.720
1727530829246,2024-09-28T16.40.29.246,0.190,0.427,40.915,-2.256
1727530829256,2024-09-28T16.40.29.256,0.200,-5.488,29.512,-2.134
1727530829266,2024-09-28T16.40.29.266,0.210,-9.756,13.841,-2.439
1727530829276,2024-09-28T16.40.29.276,0.220,-12.256,0.610,-3.232
1727530829286,2024-09-28T16.40.29.286,0.230,-13.232,-5.549,-3.841
1727530829296,2024-09-28T16.40.29.296,0.240,-13.354,-2.683,-4.268
1727530829306,2024-09-28T16.40.29.306,0.250,-13.598,6.951,-3.963
1727530829316,2024-09-28T16.40.29.316,0.260,-13.537,19.939,-4.146
1727530829326,2024-09-28T16.40.29.326,0.270,-12.500,28.780,-4.634
1727530829336,2024-09-28T16.40.29.336,0.280,-11.829,26.220,-4.024
1727530829346,2024-09-28T16.40.29.346,0.290,-11.280,14.085,-4.085
1727530829356,2024-09-28T16.40.29.356,0.300,-9.878,2.561,-4.634
1727530829366,2024-09-28T16.40.29.366,0.310,-8.537,-0.122,-5.976
1727530829376,2024-09-28T16.40.29.376,0.320,-7.622,7.317,-6.646
1727530829386,2024-09-28T16.40.29.386,0.330,-7.317,20.854,-6.402
1727530829396,2024-09-28T16.40.29.396,0.340,-7.866,38.049,-6.280
1727530829406,2024-09-28T16.40.29.406,0.350,-8.232,55.732,-6.037
1727530829416,2024-09-28T16.40.29.416,0.360,-7.134,64.756,-4.390
1727530829426,2024-09-28T16.40.29.426,0.370,-5.427,59.390,-2.561
1727530829436,2024-09-28T16.40.29.436,0.380,-3.598,44.024,-1.707
1727530829446,2024-09-28T16.40.29.446,0.390,-0.793,29.024,-2.744
1727530829456,2024-09-28T16.40.29.456,0.400,2.195,21.951,-5.000
1727530829466,2024-09-28T16.40.29.466,0.410,4.024,24.939,-5.305
1727530829476,2024-09-28T16.40.29.476,0.420,3.780,34.390,-4.756
1727530829486,2024-09-28T16.40.29.486,0.430,1.341,49.024,-6.280
1727530829496,2024-09-28T16.40.29.496,0.440,-1.037,67.378,-7.988
1727530829506,2024-09-28T16.40.29.506,0.450,-3.720,83.598,-7.134
1727530829516,2024-09-28T16.40.29.516,0.460,-6.890,84.146,-3.598
1727530829526,2024-09-28T16.40.29.526,0.470,-9.573,61.768,-3.171
1727530829536,2024-09-28T16.40.29.536,0.480,-10.122,24.329,-3.902
1727530829546,2024-09-28T16.40.29.546,0.490,-8.720,-8.537,-4.268
1727530829556,2024-09-28T16.40.29.556,0.500,-5.183,-23.293,-5.305
1727530829566,2024-09-28T16.40.29.566,0.510,-3.354,-18.171,-5.427
1727530829576,2024-09-28T16.40.29.576,0.520,-8.902,14.573,-7.256
1727530829586,2024-09-28T16.40.29.586,0.530,-16.585,78.780,-10.000
1727530829596,2024-09-28T16.40.29.596,0.540,-23.110,160.854,-9.451
1727530829606,2024-09-28T16.40.29.606,0.550,-31.646,241.402,-7.134
1727530829616,2024-09-28T16.40.29.616,0.560,-43.110,312.622,-7.195
1727530829626,2024-09-28T16.40.29.626,0.570,-57.134,383.780,-9.207
1727530829636,2024-09-28T16.40.29.636,0.580,-73.232,477.866,-12.256
1727530829646,2024-09-28T16.40.29.646,0.590,-86.707,598.354,-12.134
1727530829656,2024-09-28T16.40.29.656,0.600,-93.659,723.354,-11.098
1727530829666,2024-09-28T16.40.29.666,0.610,-97.012,830.854,-14.878
