epoc (ms);timestamp (+0300);elapsed (s);acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z
1,72753E+12;2024-09-28T16.39.44.925;0.000;0.689;0.148;0.847;-14.329;173.598;-13.049
1,72753E+12;2024-09-28T16.39.44.935;0.010;0.738;0.155;0.835;-15.732;184.390;-13.598
1,72753E+12;2024-09-28T16.39.44.945;0.020;0.777;0.165;0.803;-21.341;240.671;-16.280
1,72753E+12;2024-09-28T16.39.44.955;0.030;0.821;0.170;0.775;-30.427;328.659;-19.329
1,72753E+12;2024-09-28T16.39.44.965;0.040;0.836;0.164;0.722;-40.732;432.805;-22.073
1,72753E+12;2024-09-28T16.39.44.975;0.050;0.790;0.141;0.646;-50.488;554.024;-24.756
1,72753E+12;2024-09-28T16.39.44.985;0.060;0.622;0.117;0.511;-57.378;678.841;-26.037
1,72753E+12;2024-09-28T16.39.44.995;0.070;0.355;0.098;0.356;-63.537;793.049;-27.195
1,72753E+12;2024-09-28T16.39.45.005;0.080;0.024;0.054;0.207;-68.537;878.110;-28.476
1,72753E+12;2024-09-28T16.39.45.015;0.090;-0.365;0.024;0.101;-70.549;922.805;-28.049
1,72753E+12;2024-09-28T16.39.45.025;0.100;-0.738;-0.000;0.025;-73.841;923.902;-26.646
1,72753E+12;2024-09-28T16.39.45.035;0.110;-1.078;-0.061;0.030;-79.695;874.756;-21.890
1,72753E+12;2024-09-28T16.39.45.045;0.120;-1.350;-0.102;0.072;-81.220;775.366;-10.915
1,72753E+12;2024-09-28T16.39.45.055;0.130;-1.510;-0.089;0.156;-78.720;637.561;2.561
1,72753E+12;2024-09-28T16.39.45.065;0.140;-1.541;-0.050;0.260;-74.573;489.451;14.939
1,72753E+12;2024-09-28T16.39.45.075;0.150;-1.416;-0.022;0.326;-66.890;357.500;27.744
1,72753E+12;2024-09-28T16.39.45.085;0.160;-1.171;0.014;0.372;-53.354;261.402;37.561
1,72753E+12;2024-09-28T16.39.45.095;0.170;-0.937;0.012;0.385;-38.110;214.329;36.037
1,72753E+12;2024-09-28T16.39.45.105;0.180;-0.885;0.002;0.342;-26.646;206.829;27.744
1,72753E+12;2024-09-28T16.39.45.115;0.190;-1.004;-0.013;0.291;-19.695;207.439;18.963
1,72753E+12;2024-09-28T16.39.45.125;0.200;-1.167;-0.018;0.236;-10.427;185.183;12.988
1,72753E+12;2024-09-28T16.39.45.135;0.210;-1.248;-0.020;0.179;0.427;136.646;7.683
1,72753E+12;2024-09-28T16.39.45.145;0.220;-1.229;0.001;0.143;7.378;78.963;3.780
1,72753E+12;2024-09-28T16.39.45.155;0.230;-1.170;0.042;0.115;9.573;31.585;3.293
1,72753E+12;2024-09-28T16.39.45.165;0.240;-1.080;0.069;0.120;8.415;6.524;4.634
1,72753E+12;2024-09-28T16.39.45.175;0.250;-0.972;0.069;0.141;4.695;2.378;6.341
1,72753E+12;2024-09-28T16.39.45.185;0.260;-0.944;0.052;0.157;0.549;7.561;5.244
1,72753E+12;2024-09-28T16.39.45.195;0.270;-0.992;0.030;0.167;-2.500;11.159;0.671
1,72753E+12;2024-09-28T16.39.45.205;0.280;-1.044;-0.002;0.185;-1.951;5.915;-2.378
1,72753E+12;2024-09-28T16.39.45.215;0.290;-1.069;-0.003;0.210;0.854;-10.122;-2.012
1,72753E+12;2024-09-28T16.39.45.225;0.300;-1.053;-0.002;0.241;4.695;-30.793;-1.768
1,72753E+12;2024-09-28T16.39.45.235;0.310;-1.003;0.010;0.249;8.780;-46.341;-4.329
1,72753E+12;2024-09-28T16.39.45.245;0.320;-0.962;0.028;0.236;11.951;-51.585;-7.744
1,72753E+12;2024-09-28T16.39.45.255;0.330;-0.953;0.030;0.231;13.537;-48.963;-9.695
1,72753E+12;2024-09-28T16.39.45.265;0.340;-0.981;0.025;0.221;13.415;-45.366;-10.671
1,72753E+12;2024-09-28T16.39.45.275;0.350;-1.010;0.021;0.202;12.317;-46.220;-11.220
1,72753E+12;2024-09-28T16.39.45.285;0.360;-1.023;0.026;0.197;10.305;-52.927;-10.305
1,72753E+12;2024-09-28T16.39.45.295;0.370;-1.024;0.028;0.206;7.134;-62.683;-7.500
1,72753E+12;2024-09-28T16.39.45.305;0.380;-1.042;0.033;0.234;3.476;-74.695;-4.512
1,72753E+12;2024-09-28T16.39.45.315;0.390;-1.073;0.038;0.271;0.244;-91.829;-2.195
1,72753E+12;2024-09-28T16.39.45.325;0.400;-1.104;0.034;0.312;-0.366;-118.963;-0.854
1,72753E+12;2024-09-28T16.39.45.335;0.410;-1.122;0.030;0.344;2.561;-156.220;-1.829
1,72753E+12;2024-09-28T16.39.45.345;0.420;-1.114;0.025;0.356;8.110;-197.988;-4.756
1,72753E+12;2024-09-28T16.39.45.355;0.430;-1.115;0.015;0.375;13.963;-244.573;-6.951
1,72753E+12;2024-09-28T16.39.45.365;0.440;-1.136;0.012;0.404;20.671;-299.573;-6.829
1,72753E+12;2024-09-28T16.39.45.375;0.450;-1.095;0.017;0.419;27.866;-357.073;-7.927
1,72753E+12;2024-09-28T16.39.45.385;0.460;-1.060;0.034;0.453;29.634;-415.244;-7.805
1,72753E+12;2024-09-28T16.39.45.395;0.470;-1.030;0.018;0.518;26.951;-478.537;-4.207
1,72753E+12;2024-09-28T16.39.45.405;0.480;-0.888;-0.002;0.557;33.476;-531.951;-4.024
1,72753E+12;2024-09-28T16.39.45.415;0.490;-0.699;0.020;0.606;40.732;-568.171;-3.598
1,72753E+12;2024-09-28T16.39.45.425;0.500;-0.557;0.023;0.668;46.280;-585.366;-5.244
1,72753E+12;2024-09-28T16.39.45.435;0.510;-0.423;0.025;0.718;52.439;-581.463;-9.756
1,72753E+12;2024-09-28T16.39.45.445;0.520;-0.287;0.037;0.742;57.927;-558.841;-10.427
1,72753E+12;2024-09-28T16.39.45.455;0.530;-0.155;0.041;0.756;61.829;-519.085;-7.683
1,72753E+12;2024-09-28T16.39.45.465;0.540;-0.057;0.058;0.768;63.354;-471.159;0.183
1,72753E+12;2024-09-28T16.39.45.475;0.550;0.025;0.098;0.770;60.610;-422.378;9.573
1,72753E+12;2024-09-28T16.39.45.485;0.560;0.109;0.131;0.756;53.963;-378.293;16.829
1,72753E+12;2024-09-28T16.39.45.495;0.570;0.146;0.146;0.765;46.098;-346.829;22.866
1,72753E+12;2024-09-28T16.39.45.505;0.580;0.161;0.147;0.799;37.378;-325.122;24.146
1,72753E+12;2024-09-28T16.39.45.515;0.590;0.198;0.106;0.851;29.756;-304.512;21.585
1,72753E+12;2024-09-28T16.39.45.525;0.600;0.224;0.083;0.885;26.707;-284.634;22.622
1,72753E+12;2024-09-28T16.39.45.535;0.610;0.275;0.097;0.901;25.915;-263.720;24.268
1,72753E+12;2024-09-28T16.39.45.545;0.620;0.360;0.113;0.898;25.305;-239.756;22.073
1,72753E+12;2024-09-28T16.39.45.555;0.630;0.440;0.119;0.890;23.598;-208.537;17.134
1,72753E+12;2024-09-28T16.39.45.565;0.640;0.494;0.107;0.882;21.220;-167.195;11.585
1,72753E+12;2024-09-28T16.39.45.575;0.650;0.503;0.104;0.878;18.537;-120.915;7.683
1,72753E+12;2024-09-28T16.39.45.585;0.660;0.479;0.115;0.872;14.451;-77.561;5.549
1,72753E+12;2024-09-28T16.39.45.595;0.670;0.443;0.134;0.867;8.415;-43.902;4.695
1,72753E+12;2024-09-28T16.39.45.605;0.680;0.395;0.147;0.867;1.707;-23.963;3.720
1,72753E+12;2024-09-28T16.39.45.615;0.690;0.377;0.144;0.878;-4.573;-12.683;1.829
1,72753E+12;2024-09-28T16.39.45.625;0.700;0.382;0.124;0.899;-8.232;-5.122;0.976
1,72753E+12;2024-09-28T16.39.45.635;0.710;0.335;0.113;0.915;-7.439;-3.476;2.866
1,72753E+12;2024-09-28T16.39.45.645;0.720;0.301;0.127;0.919;-5.061;-8.049;4.329
1,72753E+12;2024-09-28T16.39.45.655;0.730;0.337;0.136;0.912;-3.171;-15.488;3.232
