epoc (ms),timestamp (+0300),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1727529424287,2024-09-28T16.17.04.287,0.000,0.625,-0.066,0.426
1727529424297,2024-09-28T16.17.04.297,0.010,0.506,-0.082,0.502
1727529424307,2024-09-28T16.17.04.307,0.020,0.362,-0.095,0.581
1727529424317,2024-09-28T16.17.04.317,0.030,0.216,-0.113,0.680
1727529424327,2024-09-28T16.17.04.327,0.040,0.041,-0.138,0.777
1727529424337,2024-09-28T16.17.04.337,0.050,-0.116,-0.156,0.872
1727529424347,2024-09-28T16.17.04.347,0.060,-0.186,-0.136,0.956
1727529424357,2024-09-28T16.17.04.357,0.070,-0.177,-0.125,1.017
1727529424367,2024-09-28T16.17.04.367,0.080,-0.172,-0.117,1.047
1727529424377,2024-09-28T16.17.04.377,0.090,-0.159,-0.112,1.052
1727529424387,2024-09-28T16.17.04.387,0.100,-0.107,-0.093,1.024
1727529424397,2024-09-28T16.17.04.397,0.110,-0.074,-0.074,0.969
1727529424407,2024-09-28T16.17.04.407,0.120,-0.042,-0.054,0.938
1727529424417,2024-09-28T16.17.04.417,0.130,-0.013,-0.038,0.938
1727529424427,2024-09-28T16.17.04.427,0.140,-0.028,-0.022,0.980
1727529424437,2024-09-28T16.17.04.437,0.150,-0.075,-0.039,1.034
1727529424447,2024-09-28T16.17.04.447,0.160,-0.113,-0.062,1.058
1727529424457,2024-09-28T16.17.04.457,0.170,-0.116,-0.068,1.064
1727529424467,2024-09-28T16.17.04.467,0.180,-0.093,-0.079,1.079
1727529424477,2024-09-28T16.17.04.477,0.190,-0.088,-0.083,1.076
1727529424487,2024-09-28T16.17.04.487,0.200,-0.064,-0.083,1.059
1727529424497,2024-09-28T16.17.04.497,0.210,0.002,-0.072,1.041
1727529424507,2024-09-28T16.17.04.507,0.220,0.042,-0.062,1.022
1727529424517,2024-09-28T16.17.04.517,0.230,0.027,-0.062,0.991
