epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1727529458548,2024-09-28T16.17.38.548,0.000,8.659,-21.585,-5.854
1727529458558,2024-09-28T16.17.38.558,0.010,8.780,-22.500,-5.732
1727529458568,2024-09-28T16.17.38.568,0.020,9.451,-24.390,-5.610
1727529458578,2024-09-28T16.17.38.578,0.030,8.902,-19.817,-5.671
1727529458588,2024-09-28T16.17.38.588,0.040,5.366,-8.293,-6.524
1727529458598,2024-09-28T16.17.38.598,0.050,0.976,3.659,-6.402
1727529458608,2024-09-28T16.17.38.608,0.060,-0.976,8.049,-4.817
1727529458618,2024-09-28T16.17.38.618,0.070,-0.549,4.939,-3.963
1727529458628,2024-09-28T16.17.38.628,0.080,0.305,-0.610,-4.085
1727529458638,2024-09-28T16.17.38.638,0.090,1.402,-6.220,-4.329
1727529458648,2024-09-28T16.17.38.648,0.100,2.378,-11.280,-4.207
1727529458658,2024-09-28T16.17.38.658,0.110,2.805,-15.305,-3.720
1727529458668,2024-09-28T16.17.38.668,0.120,2.683,-17.683,-2.988
1727529458678,2024-09-28T16.17.38.678,0.130,1.890,-14.451,-3.049
1727529458688,2024-09-28T16.17.38.688,0.140,0.183,-7.012,-2.561
1727529458698,2024-09-28T16.17.38.698,0.150,-1.220,-0.305,-1.341
1727529458708,2024-09-28T16.17.38.708,0.160,-1.768,1.829,-0.427
1727529458718,2024-09-28T16.17.38.718,0.170,-1.524,-0.488,-0.122
1727529458728,2024-09-28T16.17.38.728,0.180,-0.976,-5.549,-0.061
1727529458738,2024-09-28T16.17.38.738,0.190,-0.854,-12.561,-0.488
1727529458748,2024-09-28T16.17.38.748,0.200,-0.488,-22.622,-0.610
1727529458758,2024-09-28T16.17.38.758,0.210,0.549,-34.390,-1.707
1727529458768,2024-09-28T16.17.38.768,0.220,1.463,-50.793,-3.415
1727529458778,2024-09-28T16.17.38.778,0.230,2.744,-81.890,-4.390
1727529458788,2024-09-28T16.17.38.788,0.240,5.976,-133.476,-5.915
1727529458798,2024-09-28T16.17.38.798,0.250,11.829,-203.720,-9.268
1727529458808,2024-09-28T16.17.38.808,0.260,20.061,-283.232,-15.854
1727529458818,2024-09-28T16.17.38.818,0.270,28.841,-358.720,-25.793
1727529458828,2024-09-28T16.17.38.828,0.280,36.402,-422.134,-34.756
1727529458838,2024-09-28T16.17.38.838,0.290,43.049,-475.915,-41.524
1727529458848,2024-09-28T16.17.38.848,0.300,51.341,-532.256,-47.805
1727529458858,2024-09-28T16.17.38.858,0.310,63.293,-612.439,-49.878
1727529458868,2024-09-28T16.17.38.868,0.320,76.768,-718.354,-52.439
1727529458878,2024-09-28T16.17.38.878,0.330,85.427,-830.122,-60.366
1727529458888,2024-09-28T16.17.38.888,0.340,88.720,-920.122,-77.805
1727529458898,2024-09-28T16.17.38.898,0.350,87.622,-958.293,-95.488
1727529458908,2024-09-28T16.17.38.908,0.360,76.829,-898.659,-104.878
1727529458918,2024-09-28T16.17.38.918,0.370,66.951,-726.768,-103.963
1727529458928,2024-09-28T16.17.38.928,0.380,59.024,-473.659,-79.756
1727529458938,2024-09-28T16.17.38.938,0.390,46.280,-228.354,-33.537
1727529458948,2024-09-28T16.17.38.948,0.400,26.646,-75.915,0.305
1727529458958,2024-09-28T16.17.38.958,0.410,0.610,-21.829,12.744
1727529458968,2024-09-28T16.17.38.968,0.420,-19.268,-23.537,7.744
1727529458978,2024-09-28T16.17.38.978,0.430,-27.134,-40.244,-0.854
1727529458988,2024-09-28T16.17.38.988,0.440,-25.000,-53.963,-5.732
1727529458998,2024-09-28T16.17.38.998,0.450,-18.476,-62.439,-11.159
1727529459008,2024-09-28T16.17.39.008,0.460,-11.524,-63.049,-16.707
1727529459018,2024-09-28T16.17.39.018,0.470,-7.256,-57.561,-18.902
1727529459028,2024-09-28T16.17.39.028,0.480,-6.098,-45.671,-18.049
1727529459038,2024-09-28T16.17.39.038,0.490,-7.073,-24.695,-14.268
1727529459048,2024-09-28T16.17.39.048,0.500,-9.085,8.415,-8.780
1727529459058,2024-09-28T16.17.39.058,0.510,-10.183,42.927,-1.341
1727529459068,2024-09-28T16.17.39.068,0.520,-11.098,59.939,5.427
1727529459078,2024-09-28T16.17.39.078,0.530,-12.988,56.463,7.500
1727529459088,2024-09-28T16.17.39.088,0.540,-13.720,45.610,6.037
1727529459098,2024-09-28T16.17.39.098,0.550,-12.683,37.927,5.183
1727529459108,2024-09-28T16.17.39.108,0.560,-10.366,34.939,4.878
1727529459118,2024-09-28T16.17.39.118,0.570,-7.561,35.854,5.122
1727529459128,2024-09-28T16.17.39.128,0.580,-4.695,41.402,5.305
1727529459138,2024-09-28T16.17.39.138,0.590,-2.500,50.793,5.427
1727529459148,2024-09-28T16.17.39.148,0.600,-1.341,61.829,6.220
1727529459158,2024-09-28T16.17.39.158,0.610,-0.976,70.305,8.232
1727529459168,2024-09-28T16.17.39.168,0.620,-1.341,70.244,10.793
