epoc (ms);timestamp (+0300);elapsed (s);acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z
1,73E+12;2024-09-28T16.29.34.407;0.000;0.593;-0.010;0.615;0.976;-289.451;14.207
1,73E+12;2024-09-28T16.29.34.417;0.010;0.600;-0.002;0.546;1.098;-301.402;13.598
1,73E+12;2024-09-28T16.29.34.427;0.020;0.611;0.001;0.468;0.915;-357.317;11.707
1,73E+12;2024-09-28T16.29.34.437;0.030;0.688;-0.004;0.393;1.220;-422.073;10.305
1,73E+12;2024-09-28T16.29.34.447;0.040;0.796;-0.001;0.300;1.402;-470.854;10.549
1,73E+12;2024-09-28T16.29.34.457;0.050;0.870;0.000;0.206;1.829;-508.963;10.061
1,73E+12;2024-09-28T16.29.34.467;0.060;0.865;0.000;0.074;1.890;-547.561;8.598
1,73E+12;2024-09-28T16.29.34.477;0.070;0.822;0.008;-0.076;1.646;-591.281;6.159
1,73E+12;2024-09-28T16.29.34.487;0.080;0.792;0.006;-0.239;0.549;-641.037;4.939
1,73E+12;2024-09-28T16.29.34.497;0.090;0.767;0.002;-0.439;-0.793;-697.134;8.354
1,73E+12;2024-09-28T16.29.34.507;0.100;0.808;0.044;-0.618;-3.902;-750.976;12.439
1,73E+12;2024-09-28T16.29.34.517;0.110;0.950;0.053;-0.747;-10.915;-780.305;10.305
1,73E+12;2024-09-28T16.29.34.527;0.120;1.078;0.032;-0.817;-17.073;-773.720;7.134
1,73E+12;2024-09-28T16.29.34.537;0.130;1.105;0.027;-0.830;-21.646;-734.085;6.585
1,73E+12;2024-09-28T16.29.34.547;0.140;1.073;0.008;-0.806;-25.122;-669.939;7.744
1,73E+12;2024-09-28T16.29.34.557;0.150;1.037;0.008;-0.771;-24.817;-592.073;9.390
1,73E+12;2024-09-28T16.29.34.567;0.160;0.984;0.009;-0.721;-23.476;-508.720;6.951
1,73E+12;2024-09-28T16.29.34.577;0.170;0.841;-0.016;-0.757;-20.183;-431.037;3.049
1,73E+12;2024-09-28T16.29.34.587;0.180;0.668;-0.032;-0.812;-13.720;-368.110;3.598
1,73E+12;2024-09-28T16.29.34.597;0.190;0.517;0.002;-0.876;-6.768;-329.573;5.732
1,73E+12;2024-09-28T16.29.34.607;0.200;0.436;0.034;-0.953;-5.244;-310.122;5.976
1,73E+12;2024-09-28T16.29.34.617;0.210;0.461;0.043;-1.004;-8.598;-293.963;2.500
1,73E+12;2024-09-28T16.29.34.627;0.220;0.493;0.022;-1.024;-14.268;-268.841;-1.707
1,73E+12;2024-09-28T16.29.34.637;0.230;0.470;0.010;-1.041;-19.512;-233.659;-0.549
1,73E+12;2024-09-28T16.29.34.647;0.240;0.478;0.016;-1.059;-24.390;-188.232;0.000
1,73E+12;2024-09-28T16.29.34.657;0.250;0.477;0.016;-1.067;-29.024;-141.707;-0.061
1,73E+12;2024-09-28T16.29.34.667;0.260;0.423;0.017;-1.077;-31.829;-100.366;2.195
1,73E+12;2024-09-28T16.29.34.677;0.270;0.342;0.032;-1.088;-33.293;-69.817;5.671
1,73E+12;2024-09-28T16.29.34.687;0.280;0.289;0.039;-1.085;-35.000;-50.244;7.073
1,73E+12;2024-09-28T16.29.34.697;0.290;0.245;0.039;-1.087;-35.671;-38.963;7.744
1,73E+12;2024-09-28T16.29.34.707;0.300;0.247;0.053;-1.098;-35.183;-31.098;8.110
1,73E+12;2024-09-28T16.29.34.717;0.310;0.293;0.056;-1.106;-34.207;-22.073;7.317
1,73E+12;2024-09-28T16.29.34.727;0.320;0.343;0.051;-1.116;-32.073;-7.561;5.915
1,73E+12;2024-09-28T16.29.34.737;0.330;0.374;0.061;-1.139;-29.451;13.232;5.183
1,73E+12;2024-09-28T16.29.34.747;0.340;0.417;0.075;-1.166;-27.500;41.524;4.085
1,73E+12;2024-09-28T16.29.34.757;0.350;0.472;0.076;-1.172;-25.488;78.476;2.683
1,73E+12;2024-09-28T16.29.34.767;0.360;0.521;0.068;-1.160;-22.744;125.488;2.561
1,73E+12;2024-09-28T16.29.34.777;0.370;0.571;0.061;-1.149;-18.293;179.817;3.841
1,73E+12;2024-09-28T16.29.34.787;0.380;0.638;0.064;-1.146;-12.561;238.049;5.427
1,73E+12;2024-09-28T16.29.34.797;0.390;0.707;0.070;-1.146;-6.585;297.317;6.646
1,73E+12;2024-09-28T16.29.34.807;0.400;0.752;0.077;-1.151;-1.890;355.427;7.317
1,73E+12;2024-09-28T16.29.34.817;0.410;0.766;0.089;-1.160;1.159;408.659;8.476
1,73E+12;2024-09-28T16.29.34.827;0.420;0.770;0.101;-1.158;2.500;455.183;9.939
1,73E+12;2024-09-28T16.29.34.837;0.430;0.766;0.093;-1.114;3.354;491.524;12.500
1,73E+12;2024-09-28T16.29.34.847;0.440;0.747;0.105;-1.031;5.061;516.463;16.707
1,73E+12;2024-09-28T16.29.34.857;0.450;0.818;0.140;-0.899;5.061;540.244;17.256
1,73E+12;2024-09-28T16.29.34.867;0.460;0.927;0.086;-0.883;4.085;570.427;15.854
1,73E+12;2024-09-28T16.29.34.877;0.470;0.994;0.088;-0.819;4.024;612.073;19.146
1,73E+12;2024-09-28T16.29.34.887;0.480;1.105;0.122;-0.778;1.280;669.146;27.012
1,73E+12;2024-09-28T16.29.34.897;0.490;1.206;0.126;-0.728;-3.902;738.415;39.085
1,73E+12;2024-09-28T16.29.34.907;0.500;1.279;0.160;-0.669;-12.073;819.817;51.951
1,73E+12;2024-09-28T16.29.34.917;0.510;1.279;0.147;-0.625;-23.720;904.756;64.451
1,73E+12;2024-09-28T16.29.34.927;0.520;1.107;0.116;-0.562;-33.354;968.659;78.110
1,73E+12;2024-09-28T16.29.34.937;0.530;0.831;0.086;-0.436;-39.268;994.268;87.317
1,73E+12;2024-09-28T16.29.34.947;0.540;0.682;0.035;-0.196;-40.122;990.366;87.927
1,73E+12;2024-09-28T16.29.34.957;0.550;0.682;0.012;-0.015;-36.707;974.512;85.244
1,73E+12;2024-09-28T16.29.34.967;0.560;0.577;-0.003;0.135;-30.427;941.220;86.280
1,73E+12;2024-09-28T16.29.34.977;0.570;0.301;-0.055;0.277;-22.317;874.756;80.000
1,73E+12;2024-09-28T16.29.34.987;0.580;-0.092;-0.080;0.453;-17.988;749.878;67.378
1,73E+12;2024-09-28T16.29.34.997;0.590;-0.329;-0.095;0.646;-11.585;565.183;56.220
1,73E+12;2024-09-28T16.29.35.007;0.600;-0.286;-0.111;0.756;3.049;357.744;45.854
1,73E+12;2024-09-28T16.29.35.017;0.610;-0.163;-0.097;0.781;16.402;170.793;31.524
1,73E+12;2024-09-28T16.29.35.027;0.620;-0.017;-0.081;0.778;25.549;42.195;11.707
1,73E+12;2024-09-28T16.29.35.037;0.630;0.195;-0.045;0.798;27.866;-7.256;-2.927
1,73E+12;2024-09-28T16.29.35.047;0.640;0.337;-0.007;0.849;20.122;8.963;-4.573
1,73E+12;2024-09-28T16.29.35.057;0.650;0.314;-0.004;0.915;5.976;56.524;3.354
1,73E+12;2024-09-28T16.29.35.067;0.660;0.151;-0.042;0.952;-5.854;94.634;16.220
1,73E+12;2024-09-28T16.29.35.077;0.670;-0.024;-0.091;0.963;-9.390;96.159;26.890
1,73E+12;2024-09-28T16.29.35.087;0.680;-0.078;-0.097;0.975;-5.366;70.549;30.976
1,73E+12;2024-09-28T16.29.35.097;0.690;-0.036;-0.086;0.992;1.707;39.329;31.402
1,73E+12;2024-09-28T16.29.35.107;0.700;0.037;-0.093;1.006;9.207;16.220;28.293
1,73E+12;2024-09-28T16.29.35.117;0.710;0.090;-0.089;1.020;16.280;4.329;22.195
1,73E+12;2024-09-28T16.29.35.127;0.720;0.103;-0.068;1.020;22.256;-0.915;15.915
1,73E+12;2024-09-28T16.29.35.137;0.730;0.099;-0.048;1.002;26.341;-3.232;10.915
1,73E+12;2024-09-28T16.29.35.147;0.740;0.081;-0.026;0.976;27.134;-3.841;7.561
1,73E+12;2024-09-28T16.29.35.157;0.750;0.061;-0.010;0.952;24.268;-1.463;6.220
1,73E+12;2024-09-28T16.29.35.167;0.760;0.058;0.000;0.942;19.207;1.585;7.439
1,73E+12;2024-09-28T16.29.35.177;0.770;0.066;-0.005;0.956;13.780;2.256;9.146
1,73E+12;2024-09-28T16.29.35.187;0.780;0.080;-0.014;0.996;10.244;-0.610;9.085
1,73E+12;2024-09-28T16.29.35.197;0.790;0.093;-0.022;1.035;9.146;-4.451;6.646
1,73E+12;2024-09-28T16.29.35.207;0.800;0.100;-0.031;1.048;9.390;-7.195;2.866
1,73E+12;2024-09-28T16.29.35.217;0.810;0.103;-0.029;1.045;10.671;-9.512;1.098
1,73E+12;2024-09-28T16.29.35.227;0.820;0.111;-0.024;1.022;11.707;-13.049;1.037
1,73E+12;2024-09-28T16.29.35.237;0.830;0.127;-0.013;1.001;11.463;-16.220;0.061
1,73E+12;2024-09-28T16.29.35.247;0.840;0.143;-0.000;0.983;9.939;-17.195;-1.220
1,73E+12;2024-09-28T16.29.35.257;0.850;0.151;0.007;0.977;7.378;-15.488;-1.707
1,73E+12;2024-09-28T16.29.35.267;0.860;0.147;0.003;0.976;4.146;-13.354;-2.012
1,73E+12;2024-09-28T16.29.35.277;0.870;0.115;-0.009;0.982;1.951;-15.976;-2.317
1,73E+12;2024-09-28T16.29.35.287;0.880;0.092;-0.016;0.992;1.707;-24.329;-2.805
1,73E+12;2024-09-28T16.29.35.297;0.890;0.095;-0.021;0.996;2.073;-35.061;-3.415
1,73E+12;2024-09-28T16.29.35.307;0.900;0.097;-0.028;0.990;2.744;-48.537;-3.659
1,73E+12;2024-09-28T16.29.35.317;0.910;0.075;-0.035;0.973;4.634;-67.439;-4.390
1,73E+12;2024-09-28T16.29.35.327;0.920;0.062;-0.036;0.943;7.256;-91.890;-5.915
1,73E+12;2024-09-28T16.29.35.337;0.930;0.066;-0.028;0.917;9.512;-120.244;-6.768
1,73E+12;2024-09-28T16.29.35.347;0.940;0.111;-0.021;0.905;10.915;-147.866;-7.012
1,73E+12;2024-09-28T16.29.35.357;0.950;0.176;-0.011;0.893;11.098;-169.939;-8.354
1,73E+12;2024-09-28T16.29.35.367;0.960;0.205;-0.006;0.886;9.634;-185.854;-11.159
1,73E+12;2024-09-28T16.29.35.377;0.970;0.220;-0.011;0.879;8.293;-201.402;-12.439
1,73E+12;2024-09-28T16.29.35.387;0.980;0.251;-0.011;0.866;8.049;-219.451;-13.537
1,73E+12;2024-09-28T16.29.35.397;0.990;0.289;-0.002;0.853;7.622;-240.488;-15.610
1,73E+12;2024-09-28T16.29.35.407;1.000;0.326;0.004;0.840;7.927;-265.000;-17.073
1,73E+12;2024-09-28T16.29.35.417;1.010;0.385;0.004;0.850;9.085;-290.488;-18.720
1,73E+12;2024-09-28T16.29.35.427;1.020;0.475;0.011;0.823;9.390;-313.476;-21.159
1,73E+12;2024-09-28T16.29.35.437;1.030;0.516;0.033;0.749;8.963;-342.866;-21.463
1,73E+12;2024-09-28T16.29.35.447;1.040;0.541;0.063;0.685;7.561;-379.878;-22.683
1,73E+12;2024-09-28T16.29.35.457;1.050;0.638;0.065;0.616;2.073;-417.500;-25.122
1,73E+12;2024-09-28T16.29.35.467;1.060;0.678;0.055;0.544;-3.598;-458.171;-25.610
1,73E+12;2024-09-28T16.29.35.477;1.070;0.701;0.049;0.456;-5.671;-500.976;-25.976
1,73E+12;2024-09-28T16.29.35.487;1.080;0.836;0.043;0.352;-6.768;-539.024;-26.037
1,73E+12;2024-09-28T16.29.35.497;1.090;0.956;0.044;0.256;-7.378;-566.159;-25.305
1,73E+12;2024-09-28T16.29.35.507;1.100;1.007;0.046;0.152;-6.768;-580.549;-26.768
1,73E+12;2024-09-28T16.29.35.517;1.110;0.990;0.030;0.045;-4.207;-589.207;-27.927
1,73E+12;2024-09-28T16.29.35.527;1.120;0.917;0.048;-0.091;-0.488;-602.195;-24.512
1,73E+12;2024-09-28T16.29.35.537;1.130;0.931;0.068;-0.214;0.000;-614.207;-20.061
1,73E+12;2024-09-28T16.29.35.547;1.140;1.036;0.050;-0.307;0.732;-611.585;-18.171
1,73E+12;2024-09-28T16.29.35.557;1.150;1.058;0.036;-0.386;5.061;-591.037;-15.122
1,73E+12;2024-09-28T16.29.35.567;1.160;0.972;0.054;-0.464;9.817;-562.927;-8.598
1,73E+12;2024-09-28T16.29.35.577;1.170;0.907;0.063;-0.553;11.159;-535.488;-1.220
1,73E+12;2024-09-28T16.29.35.587;1.180;0.905;0.053;-0.621;11.463;-508.963;3.354
1,73E+12;2024-09-28T16.29.35.597;1.190;0.863;0.047;-0.677;11.524;-486.646;6.463
1,73E+12;2024-09-28T16.29.35.607;1.200;0.764;0.045;-0.755;10.000;-466.646;10.488
1,73E+12;2024-09-28T16.29.35.617;1.210;0.698;0.059;-0.830;6.341;-451.707;12.622
1,73E+12;2024-09-28T16.29.35.627;1.220;0.661;0.075;-0.867;1.220;-445.000;12.500
1,73E+12;2024-09-28T16.29.35.637;1.230;0.691;0.090;-0.905;-6.341;-432.805;10.793
1,73E+12;2024-09-28T16.29.35.647;1.240;0.757;0.068;-0.930;-13.780;-404.390;5.366
1,73E+12;2024-09-28T16.29.35.657;1.250;0.730;0.029;-0.926;-18.232;-360.427;-0.183
1,73E+12;2024-09-28T16.29.35.667;1.260;0.660;0.020;-0.931;-20.244;-305.671;-2.073
